Time (s),Force (N),Position (m)
0,-4.37E-04,0.2632
0.01,0.005,0.2628
0.02,0.005,0.2626
0.03,0.007,0.2626
0.04,0.005,0.2626
0.05,0.003,0.2626
0.06,0.007,0.2626
0.07,0.005,0.2626
0.08,0.007,0.2626
0.09,0.003,0.2626
0.1,0.003,0.2626
0.11,0.007,0.2626
0.12,0.007,0.2626
0.13,0.005,0.2626
0.14,0.007,0.2626
0.15,0.007,0.2626
0.16,0.005,0.2626
0.17,0.008,0.2626
0.18,0.007,0.2626
0.19,0.003,0.2626
0.2,0.007,0.2626
0.21,0.005,0.2626
0.22,0.005,0.2626
0.23,0.001,0.2626
0.24,0.005,0.2626
0.25,0.003,0.2626
0.26,0.003,0.2626
0.27,0.007,0.2626
0.28,0.007,0.2626
0.29,0.005,0.2626
0.3,0.008,0.2626
0.31,0.003,0.2626
0.32,0.007,0.2626
0.33,0.007,0.2626
0.34,0.008,0.2626
0.35,0.005,0.2626
0.36,0.005,0.2626
0.37,0.007,0.2626
0.38,0.008,0.2626
0.39,0.003,0.2626
0.4,0.008,0.2626
0.41,0.005,0.2626
0.42,0.005,0.2626
0.43,0.003,0.2626
0.44,0.007,0.2626
0.45,0.005,0.2626
0.46,0.003,0.2626
0.47,0.007,0.2626
0.48,0.007,0.2626
0.49,0.008,0.2626
0.5,0.005,0.2626
0.51,0.007,0.2626
0.52,0.003,0.2626
0.53,-0.002,0.2626
0.54,-0.027,0.2626
0.55,-0.044,0.2626
0.56,-0.049,0.2626
0.57,-0.063,0.2626
0.58,-0.07,0.2626
0.59,-0.067,0.2628
0.6,-0.069,0.2628
0.61,-0.07,0.263
0.62,-0.065,0.2632
0.63,-0.062,0.2631
0.64,-0.069,0.2633
0.65,-0.083,0.2635
0.66,-0.09,0.2635
0.67,-0.1,0.2637
0.68,-0.107,0.2638
0.69,-0.112,0.264
0.7,-0.121,0.264
0.71,-0.13,0.2642
0.72,-0.13,0.2644
0.73,-0.126,0.2644
