Time (s),Force (N),Position (m)
0,-0.097,0.2635
0.01,-0.088,0.2632
0.02,-0.09,0.263
0.03,-0.091,0.2628
0.04,-0.086,0.2626
0.05,-0.088,0.2626
0.06,-0.09,0.2626
0.07,-0.088,0.2626
0.08,-0.088,0.2626
0.09,-0.091,0.2627
0.1,-0.086,0.2625
0.11,-0.086,0.2626
0.12,-0.088,0.2626
0.13,-0.084,0.2626
0.14,-0.088,0.2626
0.15,-0.088,0.2626
0.16,-0.086,0.2626
0.17,-0.09,0.2626
0.18,-0.09,0.2626
0.19,-0.09,0.2626
0.2,-0.09,0.2626
0.21,-0.086,0.2626
0.22,-0.084,0.2626
0.23,-0.084,0.2626
0.24,-0.084,0.2626
0.25,-0.086,0.2626
0.26,-0.084,0.2626
0.27,-0.086,0.2626
0.28,-0.084,0.2626
0.29,-0.083,0.2626
0.3,-0.083,0.2626
0.31,-0.09,0.2626
0.32,-0.076,0.2626
0.33,-0.065,0.2626
0.34,-0.06,0.2626
0.35,-0.062,0.2626
0.36,-0.067,0.2626
0.37,-0.067,0.2626
0.38,-0.07,0.2626
0.39,-0.067,0.2626
0.4,-0.065,0.2626
0.41,-0.058,0.2626
0.42,-0.049,0.2626
0.43,-0.039,0.2626
0.44,-0.035,0.2626
0.45,-0.032,0.2626
0.46,-0.032,0.2626
0.47,-0.035,0.2626
0.48,-0.035,0.2626
0.49,-0.034,0.2626
0.5,-0.035,0.2626
0.51,-0.037,0.2626
0.52,-0.037,0.2626
0.53,-0.037,0.2626
0.54,-0.049,0.2627
0.55,-0.065,0.2625
0.56,-0.07,0.2626
0.57,-0.072,0.2626
0.58,-0.076,0.2626
0.59,-0.063,0.2626
0.6,-0.06,0.2626
0.61,-0.056,0.2626
0.62,-0.06,0.2626
0.63,-0.06,0.2626
0.64,-0.065,0.2626
0.65,-0.069,0.2626
0.66,-0.07,0.2626
0.67,-0.072,0.2626
0.68,-0.069,0.2626
0.69,-0.07,0.2626
0.7,-0.065,0.2626
0.71,-0.069,0.2626
0.72,-0.069,0.2626
0.73,-0.065,0.2626
0.74,-0.069,0.2626
0.75,-0.069,0.2626
0.76,-0.069,0.2626
0.77,-0.069,0.2626
0.78,-0.07,0.2626
0.79,-0.072,0.2626
0.8,-0.069,0.2626
0.81,-0.07,0.2626
