Time (s),Force (N),Position (m)
0,-0.125,0.2635
0.01,-0.116,0.2632
0.02,-0.116,0.263
0.03,-0.114,0.263
0.04,-0.114,0.263
0.05,-0.116,0.2628
0.06,-0.114,0.2628
0.07,-0.114,0.2628
0.08,-0.119,0.2628
0.09,-0.121,0.2628
0.1,-0.121,0.2628
0.11,-0.125,0.2628
0.12,-0.126,0.2628
0.13,-0.126,0.2628
0.14,-0.126,0.2628
0.15,-0.126,0.2628
0.16,-0.126,0.2628
0.17,-0.125,0.2628
0.18,-0.125,0.2628
0.19,-0.126,0.2628
0.2,-0.125,0.2628
0.21,-0.125,0.2628
0.22,-0.126,0.2628
0.23,-0.126,0.2628
0.24,-0.123,0.2628
0.25,-0.125,0.2628
0.26,-0.126,0.2628
0.27,-0.128,0.2628
0.28,-0.13,0.2628
0.29,-0.128,0.2628
0.3,-0.125,0.2628
0.31,-0.126,0.2628
0.32,-0.125,0.2628
0.33,-0.125,0.2628
0.34,-0.123,0.2628
0.35,-0.126,0.2628
0.36,-0.125,0.2628
0.37,-0.125,0.2628
0.38,-0.126,0.2628
0.39,-0.125,0.2628
0.4,-0.125,0.2628
0.41,-0.126,0.2628
0.42,-0.126,0.2628
0.43,-0.126,0.2628
0.44,-0.125,0.2628
0.45,-0.126,0.2628
0.46,-0.128,0.2628
0.47,-0.13,0.2628
0.48,-0.126,0.2628
0.49,-0.126,0.2628
0.5,-0.126,0.2628
0.51,-0.128,0.2628
0.52,-0.126,0.2628
0.53,-0.125,0.2628
0.54,-0.126,0.2628
0.55,-0.128,0.2628
0.56,-0.126,0.2628
0.57,-0.128,0.2628
0.58,-0.128,0.2628
0.59,-0.128,0.2628
0.6,-0.138,0.2628
0.61,-0.147,0.2628
0.62,-0.152,0.2628
0.63,-0.152,0.2628
0.64,-0.152,0.2628
0.65,-0.147,0.2628
0.66,-0.142,0.2628
0.67,-0.138,0.2628
0.68,-0.137,0.2628
0.69,-0.138,0.2628
0.7,-0.144,0.2628
0.71,-0.145,0.2628
0.72,-0.145,0.2628
0.73,-0.151,0.2628
0.74,-0.151,0.2628
0.75,-0.151,0.2628
0.76,-0.147,0.2628
0.77,-0.147,0.2628
0.78,-0.147,0.2628
0.79,-0.154,0.2628
0.8,-0.163,0.2628
0.81,-0.175,0.2628
0.82,-0.182,0.263
0.83,-0.189,0.263
0.84,-0.184,0.263
0.85,-0.173,0.2632
0.86,-0.161,0.2632
0.87,-0.149,0.2631
0.88,-0.147,0.2633
0.89,-0.158,0.2633
0.9,-0.179,0.2633
0.91,-0.207,0.2635
0.92,-0.231,0.2635
0.93,-0.247,0.2637
0.94,-0.263,0.2638
0.95,-0.271,0.264
0.96,-0.268,0.2642
0.97,-0.25,0.2644
0.98,-0.235,0.2645
0.99,-0.249,0.2647
1,-0.282,0.2649
1.01,-0.311,0.2649
1.02,-0.325,0.265
1.03,-0.332,0.2652
1.04,-0.345,0.2654
1.05,-0.369,0.2656
1.06,-0.392,0.2657
1.07,-0.408,0.2661
1.08,-0.422,0.2662
1.09,-0.439,0.2664
1.1,-0.458,0.2668
1.11,-0.511,0.2669
1.12,-0.6,0.2673
1.13,-0.659,0.2676
1.14,-0.666,0.2679
1.15,-0.651,0.2685
1.16,-0.64,0.2688
1.17,-0.647,0.2693
1.18,-0.673,0.2698
1.19,-0.705,0.2702
1.2,-0.752,0.2707
1.21,-0.796,0.271
1.22,-0.836,0.2716
1.23,-0.876,0.2719
1.24,-0.916,0.2722
1.25,-0.944,0.2728
1.26,-0.972,0.2731
1.27,-1.01,0.2736
1.28,-1.035,0.274
1.29,-1.054,0.2743
1.3,-1.075,0.2747
1.31,-1.094,0.275
1.32,-1.124,0.2753
1.33,-1.164,0.2757
1.34,-1.187,0.2759
1.35,-1.203,0.276
1.36,-1.227,0.2764
1.37,-1.255,0.2766
1.38,-1.276,0.2767
1.39,-1.294,0.2769
1.4,-1.304,0.2773
1.41,-1.336,0.2774
1.42,-1.376,0.2776
1.43,-1.391,0.2778
1.44,-1.398,0.2779
1.45,-1.409,0.2781
1.46,-1.423,0.2783
1.47,-1.446,0.2785
1.48,-1.453,0.2786
1.49,-1.465,0.2788
1.5,-1.481,0.2788
1.51,-1.496,0.279
1.52,-1.523,0.2791
1.53,-1.554,0.2793
1.54,-1.57,0.2795
1.55,-1.578,0.2797
1.56,-1.596,0.2798
1.57,-1.592,0.28
1.58,-1.596,0.2802
1.59,-1.608,0.2803
1.6,-1.619,0.2805
1.61,-1.654,0.2805
1.62,-1.685,0.2807
1.63,-1.689,0.2809
1.64,-1.701,0.281
1.65,-1.696,0.2812
1.66,-1.709,0.2814
1.67,-1.729,0.2814
1.68,-1.753,0.2815
1.69,-1.783,0.2817
1.7,-1.8,0.2819
1.71,-1.809,0.2819
1.72,-1.8,0.2821
1.73,-1.793,0.2822
1.74,-1.799,0.2824
1.75,-1.814,0.2824
1.76,-1.844,0.2826
1.77,-1.888,0.2826
1.78,-1.924,0.2828
1.79,-1.94,0.2829
1.8,-1.923,0.2831
1.81,-1.917,0.2831
1.82,-1.966,0.2833
1.83,-2.008,0.2834
1.84,-2.028,0.2838
1.85,-2.042,0.284
1.86,-2.042,0.2841
1.87,-2.047,0.2845
1.88,-2.078,0.2846
1.89,-2.124,0.285
1.9,-2.159,0.2851
1.91,-2.171,0.2855
1.92,-2.19,0.2858
1.93,-2.216,0.286
1.94,-2.246,0.2864
1.95,-2.284,0.2867
1.96,-2.316,0.287
1.97,-2.339,0.2874
1.98,-2.368,0.2876
1.99,-2.402,0.2879
2,-2.431,0.2882
2.01,-2.461,0.2886
2.02,-2.489,0.2889
2.03,-2.517,0.2893
2.04,-2.547,0.2896
2.05,-2.581,0.2898
2.06,-2.62,0.2901
2.07,-2.639,0.2905
2.08,-2.655,0.2907
2.09,-2.678,0.291
2.1,-2.693,0.2912
2.11,-2.697,0.2913
2.12,-2.716,0.2917
2.13,-2.739,0.2917
2.14,-2.761,0.2919
2.15,-2.798,0.2921
2.16,-2.803,0.292
2.17,-2.791,0.2922
2.18,-2.805,0.2922
2.19,-2.835,0.2922
2.2,-2.858,0.2924
2.21,-2.865,0.2924
2.22,-2.868,0.2924
2.23,-2.891,0.2924
2.24,-2.903,0.2924
2.25,-2.917,0.2924
2.26,-2.938,0.2926
2.27,-2.955,0.2926
2.28,-2.957,0.2927
2.29,-2.964,0.2927
2.3,-2.978,0.2929
2.31,-2.999,0.2931
2.32,-3.032,0.2933
2.33,-3.064,0.2932
2.34,-3.08,0.2936
2.35,-3.094,0.2938
2.36,-3.113,0.2939
2.37,-3.139,0.2941
2.38,-3.158,0.2944
2.39,-3.176,0.2946
2.4,-3.197,0.295
2.41,-3.212,0.2953
2.42,-3.232,0.2955
2.43,-3.246,0.296
2.44,-3.275,0.2962
2.45,-3.305,0.2965
2.46,-3.335,0.2968
2.47,-3.354,0.2972
2.48,-3.37,0.2975
2.49,-3.387,0.2977
2.5,-3.415,0.298
2.51,-3.448,0.2984
2.52,-3.471,0.2988
2.53,-3.481,0.2987
2.54,-3.501,0.2991
2.55,-3.532,0.2994
2.56,-3.574,0.2996
2.57,-3.621,0.2999
2.58,-3.663,0.3012
2.59,-3.689,0.3013
2.6,-3.712,0.3017
2.61,-3.738,0.302
2.62,-3.763,0.3022
2.63,-3.793,0.3025
2.64,-3.817,0.3027
2.65,-3.826,0.303
2.66,-3.896,0.3032
2.67,-3.918,0.3035
2.68,-3.92,0.3039
2.69,-3.929,0.3043
2.7,-3.974,0.3044
2.71,-4.027,0.3048
2.72,-4.053,0.3051
2.73,-4.053,0.3053
2.74,-4.065,0.3056
2.75,-4.086,0.3058
2.76,-4.111,0.3061
2.77,-4.123,0.3063
2.78,-4.198,0.3067
2.79,-4.249,0.3068
2.8,-4.263,0.307
2.81,-4.264,0.3073
2.82,-4.275,0.3075
2.83,-4.303,0.3077
2.84,-4.343,0.308
2.85,-4.385,0.3082
2.86,-4.409,0.3084
2.87,-4.434,0.3085
2.88,-4.469,0.3089
2.89,-4.495,0.3091
2.9,-4.535,0.3094
2.91,-4.561,0.3096
2.92,-4.574,0.3099
2.93,-4.588,0.3103
2.94,-4.614,0.3104
2.95,-4.661,0.3108
2.96,-4.692,0.3111
2.97,-4.719,0.3113
2.98,-4.734,0.3116
2.99,-4.745,0.312
3,-4.776,0.3121
3.01,-4.818,0.3125
3.02,-4.846,0.3129
3.03,-4.864,0.313
3.04,-4.872,0.3134
3.05,-4.885,0.3135
3.06,-4.906,0.3139
3.07,-4.944,0.314
3.08,-4.976,0.3144
3.09,-4.997,0.3146
3.1,-5.018,0.3147
3.11,-5.042,0.3149
3.12,-5.047,0.3151
3.13,-5.059,0.3153
3.14,-5.08,0.3154
3.15,-5.098,0.3156
