Time (s),Force (N),Position (m)
0,-0.112,0.2618
0.01,-0.109,0.2614
0.02,-0.107,0.2614
0.03,-0.107,0.2615
0.04,-0.111,0.2613
0.05,-0.104,0.2613
0.06,-0.105,0.2613
0.07,-0.105,0.2613
0.08,-0.107,0.2613
0.09,-0.104,0.2613
0.1,-0.105,0.2613
0.11,-0.105,0.2613
0.12,-0.105,0.2613
0.13,-0.107,0.2613
0.14,-0.104,0.2613
0.15,-0.105,0.2613
0.16,-0.105,0.2613
0.17,-0.102,0.2613
0.18,-0.105,0.2613
0.19,-0.105,0.2613
0.2,-0.104,0.2613
0.21,-0.104,0.2613
0.22,-0.105,0.2613
0.23,-0.105,0.2613
0.24,-0.104,0.2613
0.25,-0.107,0.2613
0.26,-0.107,0.2613
0.27,-0.104,0.2613
0.28,-0.105,0.2613
0.29,-0.105,0.2613
0.3,-0.107,0.2613
0.31,-0.105,0.2613
0.32,-0.105,0.2613
0.33,-0.104,0.2613
0.34,-0.105,0.2613
0.35,-0.105,0.2613
0.36,-0.104,0.2613
0.37,-0.104,0.2613
0.38,-0.104,0.2613
0.39,-0.107,0.2613
0.4,-0.107,0.2613
0.41,-0.104,0.2613
0.42,-0.104,0.2613
0.43,-0.102,0.2613
0.44,-0.104,0.2613
0.45,-0.1,0.2613
0.46,-0.105,0.2613
0.47,-0.107,0.2613
0.48,-0.104,0.2613
0.49,-0.105,0.2613
0.5,-0.105,0.2613
0.51,-0.105,0.2613
0.52,-0.104,0.2613
0.53,-0.104,0.2613
0.54,-0.107,0.2613
0.55,-0.107,0.2613
0.56,-0.104,0.2613
0.57,-0.107,0.2613
0.58,-0.107,0.2613
0.59,-0.105,0.2613
0.6,-0.109,0.2613
0.61,-0.107,0.2613
0.62,-0.111,0.2613
0.63,-0.112,0.2613
0.64,-0.112,0.2613
0.65,-0.114,0.2613
0.66,-0.111,0.2613
0.67,-0.111,0.2613
0.68,-0.114,0.2613
0.69,-0.114,0.2613
0.7,-0.114,0.2613
0.71,-0.114,0.2613
0.72,-0.111,0.2613
0.73,-0.114,0.2613
0.74,-0.114,0.2613
0.75,-0.116,0.2613
0.76,-0.118,0.2613
0.77,-0.116,0.2613
0.78,-0.116,0.2613
0.79,-0.112,0.2613
0.8,-0.112,0.2613
0.81,-0.112,0.2613
0.82,-0.112,0.2613
0.83,-0.114,0.2613
0.84,-0.112,0.2613
0.85,-0.112,0.2613
0.86,-0.114,0.2613
0.87,-0.112,0.2613
0.88,-0.112,0.2613
0.89,-0.112,0.2613
0.9,-0.111,0.2613
0.91,-0.111,0.2613
0.92,-0.111,0.2613
0.93,-0.111,0.2613
0.94,-0.114,0.2613
0.95,-0.116,0.2613
0.96,-0.112,0.2613
0.97,-0.114,0.2613
0.98,-0.116,0.2613
0.99,-0.111,0.2613
1,-0.114,0.2613
1.01,-1.11E-01,0.2613
1.02,-0.109,0.2613
1.03,-0.109,0.2613
1.04,-0.109,0.2613
1.05,-0.112,0.2613
1.06,-0.114,0.2613
1.07,-0.114,0.2613
1.08,-0.111,0.2613
1.09,-1.11E-01,0.2613
1.1,-1.09E-01,0.2613
1.11,-1.12E-01,0.2613
1.12,-1.09E-01,0.2613
1.13,-0.107,0.2613
1.14,-0.111,0.2613
1.15,-0.107,0.2613
1.16,-0.109,0.2613
1.17,-1.12E-01,0.2613
1.18,-0.107,0.2613
1.19,-0.111,0.2613
1.2,-0.107,0.2613
1.21,-0.109,0.2613
1.22,-0.111,0.2613
1.23,-0.112,0.2613
1.24,-0.109,0.2613
1.25,-0.109,0.2613
1.26,-0.111,0.2613
1.27,-0.112,0.2613
1.28,-0.111,0.2613
1.29,-0.109,0.2613
1.3,-0.114,0.2613
1.31,-0.112,0.2613
1.32,-0.111,0.2613
1.33,-0.111,0.2613
1.34,-0.109,0.2613
1.35,-0.111,0.2613
1.36,-0.111,0.2613
1.37,-0.111,0.2613
1.38,-0.109,0.2613
1.39,-0.111,0.2613
1.4,-0.111,0.2613
1.41,-0.111,0.2613
1.42,-0.112,0.2613
1.43,-0.114,0.2613
1.44,-0.111,0.2613
1.45,-0.114,0.2613
1.46,-0.119,0.2613
1.47,-0.123,0.2613
1.48,-0.138,0.2613
1.49,-0.208,0.2613
1.5,-0.457,0.2614
1.51,-0.577,0.2617
1.52,-0.381,0.2623
1.53,-0.18,0.2628
1.54,-0.133,0.2633
1.55,-0.126,0.2638
1.56,-0.123,0.2642
1.57,-0.125,0.2645
1.58,-0.138,0.2647
1.59,-0.222,0.2647
1.6,-0.505,0.2649
1.61,-0.74,0.2652
1.62,-0.657,0.2655
1.63,-0.395,0.2661
1.64,-0.263,0.2664
1.65,-0.289,0.2668
1.66,-0.462,0.2669
1.67,-0.67,0.2673
1.68,-0.761,0.2676
1.69,-0.673,0.2679
1.7,-0.553,0.2683
1.71,-0.526,0.2686
1.72,-0.626,0.269
1.73,-0.759,0.2692
1.74,-0.808,0.2695
1.75,-0.771,0.2698
1.76,-0.726,0.2702
1.77,-0.747,0.2705
1.78,-0.83,0.2709
1.79,-0.906,0.271
1.8,-0.928,0.2714
1.81,-0.899,0.2717
1.82,-0.888,0.2721
