Time (s),Force (N),Position (m)
0,-0.158,0.2623
0.01,-0.152,0.2618
0.02,-0.154,0.2618
0.03,-0.152,0.2616
0.04,-0.154,0.2616
0.05,-0.152,0.2616
0.06,-0.151,0.2614
0.07,-0.156,0.2614
0.08,-0.154,0.2614
0.09,-0.149,0.2614
0.1,-0.152,0.2614
0.11,-0.152,0.2614
0.12,-0.149,0.2614
0.13,-0.152,0.2614
0.14,-0.151,0.2614
0.15,-0.152,0.2614
0.16,-0.151,0.2614
0.17,-0.151,0.2614
0.18,-0.151,0.2614
0.19,-0.151,0.2614
0.2,-0.154,0.2614
0.21,-0.152,0.2614
0.22,-0.151,0.2614
0.23,-0.152,0.2614
0.24,-0.152,0.2614
0.25,-0.152,0.2614
0.26,-0.154,0.2614
0.27,-0.152,0.2614
0.28,-0.152,0.2614
0.29,-0.152,0.2614
0.3,-0.151,0.2614
0.31,-0.152,0.2614
0.32,-0.154,0.2614
0.33,-0.152,0.2614
0.34,-0.151,0.2614
0.35,-0.151,0.2614
0.36,-0.154,0.2614
0.37,-0.154,0.2614
0.38,-0.152,0.2614
0.39,-0.154,0.2614
0.4,-0.152,0.2614
0.41,-0.156,0.2614
0.42,-0.152,0.2614
0.43,-0.154,0.2614
0.44,-0.154,0.2614
0.45,-0.154,0.2614
0.46,-0.154,0.2614
0.47,-0.152,0.2614
0.48,-0.152,0.2614
0.49,-0.154,0.2614
0.5,-0.154,0.2614
0.51,-0.154,0.2614
0.52,-0.158,0.2614
0.53,-0.154,0.2614
0.54,-0.156,0.2614
0.55,-0.154,0.2614
0.56,-0.151,0.2614
0.57,-0.154,0.2614
0.58,-0.154,0.2614
0.59,-0.152,0.2614
0.6,-0.156,0.2614
0.61,-0.156,0.2614
0.62,-0.154,0.2614
0.63,-0.156,0.2614
0.64,-0.152,0.2614
0.65,-0.158,0.2614
0.66,-0.152,0.2614
0.67,-0.154,0.2614
0.68,-0.152,0.2614
0.69,-0.154,0.2614
0.7,-0.156,0.2614
0.71,-0.156,0.2614
0.72,-0.152,0.2614
0.73,-0.154,0.2614
0.74,-0.154,0.2614
0.75,-0.158,0.2614
0.76,-0.156,0.2614
0.77,-0.154,0.2614
0.78,-0.154,0.2614
0.79,-0.154,0.2614
0.8,-0.154,0.2614
0.81,-0.156,0.2614
0.82,-0.159,0.2614
0.83,-0.158,0.2614
0.84,-0.158,0.2614
0.85,-0.156,0.2614
0.86,-0.154,0.2614
0.87,-0.156,0.2614
0.88,-0.158,0.2614
0.89,-0.152,0.2614
0.9,-0.156,0.2614
0.91,-0.154,0.2614
0.92,-0.151,0.2614
0.93,-0.161,0.2614
0.94,-0.159,0.2614
0.95,-0.158,0.2614
0.96,-0.154,0.2614
0.97,-0.156,0.2614
0.98,-0.158,0.2614
0.99,-0.158,0.2614
1,-0.172,0.2614
1.01,-0.208,0.2614
1.02,-0.409,0.2616
