Time (s),Velocity (m/s),Force (N)
0,,-0.009
0.002,,-0.005
0.004,,-0.004
0.006,,1.28E-15
0.008,,1.28E-15
0.01,,1.28E-15
0.012,,-0.002
0.014,,-0.002
0.016,,-0.011
0.018,,-0.004
0.02,0,-0.005
0.022,,0.004
0.024,,0.002
0.026,,-0.007
0.028,,-0.004
0.03,,-0.005
0.032,,-0.007
0.034,,-0.005
0.036,,-0.004
0.038,,-0.007
0.04,8.51E-05,-0.009
0.042,,1.28E-15
0.044,,1.28E-15
0.046,,0.002
0.048,,0.002
0.05,,-0.005
0.052,,-0.002
0.054,,-0.005
0.056,,1.28E-15
0.058,,-0.005
0.06,0,-0.005
0.062,,-0.002
0.064,,0.004
0.066,,0.004
0.068,,-0.002
0.07,,-0.007
0.072,,-0.002
0.074,,-0.011
0.076,,-0.002
0.078,,-0.004
0.08,0,-0.009
0.082,,-0.002
0.084,,1.28E-15
0.086,,1.28E-15
0.088,,0.002
0.09,,-0.005
0.092,,-0.007
0.094,,-0.011
0.096,,-0.002
0.098,,-0.002
0.1,-8.50E-05,1.28E-15
0.102,,1.28E-15
0.104,,-0.002
0.106,,-0.002
0.108,,-0.005
0.11,,1.28E-15
0.112,,-0.002
0.114,,-0.004
0.116,,-0.005
0.118,,-0.002
0.12,0,1.28E-15
0.122,,-0.002
0.124,,1.28E-15
0.126,,-0.004
0.128,,-0.007
0.13,,-0.002
0.132,,-0.002
0.134,,-0.007
0.136,,-0.002
0.138,,-0.004
0.14,0,-0.005
0.142,,0.002
0.144,,0.009
0.146,,-0.002
0.148,,-0.005
0.15,,-0.005
0.152,,-0.004
0.154,,1.28E-15
0.156,,-0.004
0.158,,1.28E-15
0.16,0,-0.004
0.162,,0.004
0.164,,0.004
0.166,,-0.004
0.168,,-0.002
0.17,,0.002
0.172,,-0.009
0.174,,-0.007
0.176,,-0.004
0.178,,-0.005
0.18,0,-0.005
0.182,,1.28E-15
0.184,,0.007
0.186,,-0.002
0.188,,-0.005
0.19,,-0.004
0.192,,1.28E-15
0.194,,-0.004
0.196,,-0.002
0.198,,-0.007
0.2,0,-0.002
0.202,,-0.004
0.204,,0.007
0.206,,-0.002
0.208,,-0.007
0.21,,-0.005
0.212,,-0.004
0.214,,0.007
0.216,,-0.004
0.218,,-0.004
0.22,0,-0.004
0.222,,-0.002
0.224,,0.004
0.226,,-0.004
0.228,,-0.002
0.23,,-0.002
0.232,,-0.004
0.234,,-0.005
0.236,,-0.004
0.238,,-0.007
0.24,0,-0.009
0.242,,-0.004
0.244,,1.28E-15
0.246,,0.002
0.248,,0.002
0.25,,-0.002
0.252,,-0.002
0.254,,-0.007
0.256,,1.28E-15
0.258,,1.28E-15
0.26,0,-0.007
0.262,,-0.005
0.264,,-0.002
0.266,,1.28E-15
0.268,,-0.004
0.27,,-0.004
0.272,,-0.002
0.274,,1.28E-15
0.276,,0.004
0.278,,-0.005
0.28,0,-0.004
0.282,,-0.005
0.284,,0.007
0.286,,-0.005
0.288,,-0.009
0.29,,-0.004
0.292,,-0.002
0.294,,-0.005
0.296,,-0.007
0.298,,-0.007
0.3,-8.51E-05,0.002
0.302,,0.002
0.304,,0.004
0.306,,0.002
0.308,,-0.004
0.31,,-0.005
0.312,,1.28E-15
0.314,,-0.007
0.316,,-0.005
0.318,,1.28E-15
0.32,0,-0.007
0.322,,-0.004
0.324,,1.28E-15
0.326,,-0.004
0.328,,-0.005
0.33,,-0.005
0.332,,-0.007
0.334,,-0.005
0.336,,0.002
0.338,,-0.004
0.34,0,-0.005
0.342,,1.28E-15
0.344,,0.007
0.346,,-0.004
0.348,,-0.004
0.35,,-0.009
0.352,,1.28E-15
0.354,,-0.005
0.356,,-0.007
0.358,,-0.002
0.36,0,-0.004
0.362,,-0.002
0.364,,0.004
0.366,,0.004
0.368,,-0.004
0.37,,-0.004
0.372,,-0.009
0.374,,-0.005
0.376,,-0.011
0.378,,-0.005
0.38,0,-0.002
0.382,,-0.002
0.384,,0.004
0.386,,-0.005
0.388,,-0.005
0.39,,-0.002
0.392,,-0.009
0.394,,-0.004
0.396,,-0.004
0.398,,-0.004
