Time (s),Force (N),Position (m)
0,-0.058,0.2625
0.01,-0.053,0.2621
0.02,-0.053,0.2621
0.03,-0.049,0.2621
0.04,-0.051,0.2621
0.05,-0.049,0.2621
0.06,-0.051,0.2621
0.07,-0.051,0.2621
0.08,-0.053,0.2621
0.09,-0.051,0.2621
0.1,-0.051,0.2621
0.11,-0.051,0.2621
0.12,-0.053,0.2621
0.13,-0.049,0.2621
0.14,-0.053,0.2621
0.15,-0.049,0.2621
0.16,-0.049,0.2621
0.17,-0.053,0.2621
0.18,-0.055,0.2621
0.19,-0.051,0.2621
0.2,-0.053,0.2621
0.21,-0.053,0.2621
0.22,-0.055,0.2621
0.23,-0.055,0.2621
0.24,-0.053,0.2621
0.25,-0.051,0.2621
0.26,-0.055,0.2621
0.27,-0.055,0.2621
0.28,-0.056,0.2621
0.29,-0.055,0.2621
0.3,-0.056,0.2621
0.31,-0.053,0.2621
0.32,-0.053,0.2621
0.33,-0.053,0.2621
0.34,-0.058,0.2621
0.35,-0.056,0.2621
0.36,-0.056,0.2621
0.37,-0.056,0.2621
0.38,-0.056,0.2621
0.39,-0.06,0.2621
0.4,-0.058,0.2621
0.41,-0.058,0.2621
0.42,-0.06,0.2619
0.43,-0.062,0.2621
0.44,-0.06,0.2621
0.45,-0.062,0.2621
0.46,-0.06,0.2619
0.47,-0.063,0.2621
0.48,-0.063,0.2621
0.49,-0.065,0.2621
0.5,-0.063,0.2619
0.51,-0.067,0.2621
0.52,-0.067,0.2621
0.53,-0.07,0.262
0.54,-0.07,0.262
0.55,-0.072,0.262
0.56,-0.076,0.262
0.57,-0.081,0.262
0.58,-0.084,0.262
0.59,-0.091,0.2619
0.6,-0.102,0.2621
0.61,-0.116,0.2621
0.62,-0.119,0.2621
0.63,-0.119,0.2621
0.64,-0.118,0.2621
0.65,-0.114,0.2623
0.66,-0.114,0.2623
0.67,-0.121,0.2623
0.68,-0.128,0.2625
0.69,-0.128,0.2625
0.7,-0.123,0.2625
0.71,-0.13,0.2626
0.72,-0.131,0.2626
0.73,-0.138,0.2626
0.74,-0.161,0.2628
0.75,-0.182,0.2628
0.76,-0.194,0.2628
0.77,-0.186,0.263
0.78,-0.186,0.2632
0.79,-0.179,0.2631
0.8,-0.18,0.2633
0.81,-0.189,0.2635
0.82,-0.203,0.2635
0.83,-0.226,0.2637
0.84,-0.242,0.2638
0.85,-0.252,0.2638
0.86,-0.252,0.264
0.87,-0.257,0.2642
0.88,-0.261,0.2644
0.89,-0.28,0.2644
0.9,-0.331,0.2645
0.91,-0.362,0.2647
0.92,-0.38,0.2649
0.93,-0.38,0.265
0.94,-0.374,0.2654
0.95,-0.373,0.2657
0.96,-0.367,0.2659
0.97,-0.381,0.2662
0.98,-0.404,0.2664
0.99,-0.432,0.2666
1,-0.469,0.2669
1.01,-0.497,0.2671
1.02,-0.516,0.2674
1.03,-0.54,0.2676
1.04,-0.561,0.2678
1.05,-0.572,0.2681
1.06,-0.582,0.2683
1.07,-0.607,0.2687
1.08,-0.626,0.2688
1.09,-0.647,0.269
1.1,-0.67,0.2693
1.11,-0.692,0.2695
1.12,-0.719,0.2699
1.13,-0.75,0.27
1.14,-0.783,0.2704
1.15,-0.81,0.2705
1.16,-0.844,0.2709
1.17,-0.872,0.2712
1.18,-0.904,0.2716
