Time (s),Force (N),Position (m)
0,-0.03,0.263
0.01,-0.03,0.2627
0.02,-0.028,0.2623
0.03,-0.025,0.2623
0.04,-0.025,0.2621
0.05,-0.03,0.262
0.06,-0.032,0.262
0.07,-0.03,0.262
0.08,-0.03,0.262
0.09,-0.032,0.2618
0.1,-0.034,0.2618
0.11,-0.032,0.2618
0.12,-0.032,0.2618
0.13,-0.034,0.2618
0.14,-0.034,0.2618
0.15,-0.035,0.2618
0.16,-0.034,0.2618
0.17,-0.035,0.2618
0.18,-0.034,0.2618
0.19,-0.034,0.2618
0.2,-0.035,0.2618
0.21,-0.035,0.2618
0.22,-0.034,0.2618
0.23,-0.035,0.2618
0.24,-0.034,0.2618
0.25,-0.032,0.2618
0.26,-0.034,0.2618
0.27,-0.034,0.2618
0.28,-0.032,0.2618
0.29,-0.032,0.2618
0.3,-0.034,0.2618
0.31,-0.032,0.2618
0.32,-0.034,0.2618
0.33,-0.032,0.2618
0.34,-0.032,0.2618
0.35,-0.032,0.2618
0.36,-0.032,0.2618
0.37,-0.028,0.2618
0.38,-0.032,0.2618
0.39,-0.032,0.2618
0.4,-0.03,0.2618
0.41,-0.032,0.2618
0.42,-0.03,0.2618
0.43,-0.03,0.2618
0.44,-0.028,0.2618
0.45,-0.034,0.2618
0.46,-0.032,0.2618
0.47,-0.03,0.2618
0.48,-0.03,0.2618
0.49,-0.03,0.2618
0.5,-0.03,0.2618
0.51,-0.032,0.2618
0.52,-0.028,0.2618
0.53,-0.03,0.2618
0.54,-0.032,0.2618
0.55,-0.03,0.2618
0.56,-0.027,0.2618
0.57,-0.027,0.2618
0.58,-0.027,0.2618
0.59,-0.027,0.2618
0.6,-0.028,0.2618
0.61,-0.028,0.2618
0.62,-0.028,0.2618
0.63,-0.032,0.2618
0.64,-0.028,0.2618
0.65,-0.027,0.2618
0.66,-0.027,0.2618
0.67,-0.027,0.2618
0.68,-0.03,0.2618
0.69,-0.023,0.2618
0.7,-0.027,0.2618
0.71,-0.023,0.2618
0.72,-0.023,0.2618
0.73,-0.025,0.2618
0.74,-0.025,0.2618
0.75,-0.025,0.2618
0.76,-0.023,0.2618
0.77,-0.027,0.2618
0.78,-0.027,0.2618
0.79,-0.027,0.2618
0.8,-0.028,0.2618
0.81,-0.027,0.2618
0.82,-0.027,0.2618
0.83,-0.028,0.2618
0.84,-0.028,0.2618
0.85,-0.025,0.2618
0.86,-0.025,0.2618
0.87,-0.025,0.2618
0.88,-0.028,0.2618
0.89,-0.027,0.2618
0.9,-0.025,0.2618
0.91,-0.025,0.2618
0.92,-0.027,0.2618
0.93,-0.03,0.2618
