Time (s),Velocity (m/s),Force (N)
0,,-0.011
0.002,,-0.002
0.004,,0.002
0.006,,0.004
0.008,,0.002
0.01,,-0.004
0.012,,-0.004
0.014,,-0.005
0.016,,-0.002
0.018,,-0.002
0.02,0.02,-0.005
0.022,,-0.002
0.024,,1.28E-15
0.026,,-0.002
0.028,,-0.002
0.03,,-0.004
0.032,,-0.002
0.034,,-0.005
0.036,,1.28E-15
0.038,,-0.011
0.04,-0.43,-0.005
0.042,,0.002
0.044,,0.004
0.046,,-0.009
0.048,,1.28E-15
0.05,,-0.005
0.052,,-0.002
0.054,,-0.007
0.056,,-0.004
0.058,,-0.004
0.06,-0.07,-0.005
0.062,,0.004
0.064,,1.28E-15
0.066,,-0.007
0.068,,-0.002
0.07,,-0.002
0.072,,-0.005
0.074,,-0.009
0.076,,-0.005
0.078,,1.28E-15
0.08,0.37,-0.002
0.082,,1.28E-15
0.084,,0.002
0.086,,0.002
0.088,,0.002
0.09,,0.002
0.092,,1.28E-15
0.094,,-0.002
0.096,,-0.007
0.098,,-0.009
0.1,-0.31,0.002
0.102,,-0.007
0.104,,0.002
0.106,,0.002
0.108,,0.002
0.11,,-0.002
0.112,,-0.004
0.114,,-0.005
0.116,,-0.007
0.118,,-0.009
0.12,-0.44,-0.002
0.122,,1.28E-15
0.124,,-0.002
0.126,,0.005
0.128,,0.002
0.13,,-0.007
0.132,,-0.007
0.134,,-0.004
0.136,,-0.007
0.138,,-0.004
0.14,-0.08,-0.007
0.142,,0.002
0.144,,0.002
0.146,,0.009
0.148,,-0.004
0.15,,-0.002
0.152,,0.002
0.154,,-0.007
0.156,,-0.007
0.158,,-0.007
0.16,-0.03,-0.012
0.162,,-0.004
0.164,,1.28E-15
0.166,,-0.004
0.168,,-0.004
0.17,,-0.002
0.172,,1.28E-15
0.174,,-0.002
0.176,,-0.005
0.178,,-0.004
0.18,-0.01,-0.002
0.182,,-0.005
0.184,,0.002
0.186,,1.28E-15
0.188,,1.28E-15
0.19,,-0.007
0.192,,1.28E-15
0.194,,-0.004
0.196,,-0.004
0.198,,0.002
0.2,-0.01,-0.004
0.202,,-0.005
0.204,,0.002
0.206,,0.005
0.208,,-0.002
0.21,,-0.004
0.212,,-0.004
0.214,,-0.004
0.216,,-0.009
0.218,,-0.002
0.22,0.01,-0.005
0.222,,-0.002
0.224,,0.002
0.226,,-0.002
0.228,,-0.004
0.23,,-0.004
0.232,,1.28E-15
0.234,,-0.007
0.236,,0.002
0.238,,-0.007
0.24,0.01,-0.005
0.242,,-0.005
0.244,,1.28E-15
0.246,,0.002
0.248,,-0.005
0.25,,1.28E-15
0.252,,-0.004
0.254,,1.28E-15
0.256,,1.28E-15
0.258,,-0.007
0.26,0.03,-0.004
0.262,,-0.002
0.264,,-0.002
0.266,,1.28E-15
0.268,,1.28E-15
0.27,,-0.004
0.272,,1.28E-15
0.274,,-0.005
0.276,,-0.004
0.278,,-0.009
0.28,0.03,-0.005
0.282,,-0.002
0.284,,-0.004
0.286,,1.28E-15
0.288,,-0.002
0.29,,1.28E-15
0.292,,0.002
0.294,,-0.007
0.296,,-0.005
0.298,,-0.007
0.3,0.01,-0.004
0.302,,-0.005
0.304,,1.28E-15
0.306,,-0.002
0.308,,1.28E-15
0.31,,-0.002
0.312,,-0.002
0.314,,-0.007
0.316,,-0.005
0.318,,-0.007
0.32,0,-0.004
0.322,,-0.002
0.324,,0.002
0.326,,-0.002
0.328,,1.28E-15
0.33,,1.28E-15
0.332,,-0.005
0.334,,-0.002
0.336,,-0.009
0.338,,-0.002
0.34,-0.01,0.002
0.342,,-0.005
0.344,,0.005
0.346,,-0.002
0.348,,-0.004
0.35,,-0.004
0.352,,-0.002
0.354,,-0.004
0.356,,-0.004
0.358,,-0.005
0.36,-0.03,-0.002
0.362,,-0.002
0.364,,0.007
0.366,,-0.005
0.368,,-0.009
0.37,,-0.002
0.372,,-0.004
0.374,,-0.004
0.376,,0.002
0.378,,-0.007
0.38,-0.06,-0.007
0.382,,-0.005
0.384,,0.002
0.386,,0.005
0.388,,0.005
0.39,,1.28E-15
0.392,,-0.007
0.394,,1.28E-15
0.396,,-0.005
0.398,,-0.009
0.4,-0.09,-0.009
0.402,,1.28E-15
0.404,,0.002
0.406,,1.28E-15
0.408,,-0.002
0.41,,-0.004
0.412,,0.005
0.414,,1.28E-15
0.416,,-0.005
0.418,,-0.005
0.42,-0.11,-0.004
0.422,,1.28E-15
0.424,,0.005
0.426,,0.005
0.428,,-0.004
0.43,,-0.005
0.432,,-0.005
0.434,,-0.005
0.436,,-0.007
0.438,,-0.004
0.44,-0.06,1.28E-15
0.442,,1.28E-15
0.444,,0.007
0.446,,-0.004
0.448,,1.28E-15
0.45,,1.28E-15
0.452,,1.28E-15
0.454,,-0.004
0.456,,-0.002
0.458,,-0.002
0.46,-0.2,-0.004
0.462,,1.28E-15
0.464,,0.002
0.466,,0.004
0.468,,1.28E-15
0.47,,-0.002
0.472,,-0.002
0.474,,-0.002
0.476,,-0.007
0.478,,-0.007
0.48,1,-0.002
0.482,,1.28E-15
0.484,,-0.002
0.486,,-0.007
0.488,,0.004
0.49,,1.28E-15
0.492,,-0.007
0.494,,1.28E-15
0.496,,-0.005
0.498,,-0.005
0.5,0.25,-0.004
0.502,,-0.002
0.504,,0.002
0.506,,-0.004
0.508,,-0.004
0.51,,-0.005
0.512,,-0.005
0.514,,0.002
0.516,,-0.004
0.518,,-0.005
0.52,-0.2,-0.009
0.522,,-0.002
0.524,,0.004
0.526,,-0.005
0.528,,-0.002
0.53,,-0.007
0.532,,-0.005
0.534,,-0.005
0.536,,-0.005
0.538,,0.002
0.54,-0.15,-0.007
0.542,,-0.007
0.544,,0.002
0.546,,1.28E-15
0.548,,-0.004
0.55,,-0.004
0.552,,-0.004
0.554,,-0.005
