Time (s),T (N · m),Force (N),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
0,-7.65E-05,-0.003,0,,,0,,
0.02,-1.20E-04,-0.005,-0.002,-0.039,,-3.75E-05,-9.38E-04,
0.04,-1.20E-04,-0.005,-0.002,0,0.982,-3.75E-05,0,0.023
0.06,-7.65E-05,-0.003,-0.002,0,0,-3.75E-05,0,0
0.08,-1.64E-04,-0.007,-0.002,0,0,-3.75E-05,0,0
0.1,-1.64E-04,-0.007,-0.002,0,0,-3.75E-05,0,0
0.12,-1.20E-04,-0.005,-0.002,0,-0.982,-3.75E-05,0,-0.023
0.14,-1.20E-04,-0.005,-0.002,-0.039,-0.982,-3.75E-05,-9.38E-04,-0.023
0.16,-1.20E-04,-0.005,-0.003,-0.039,0.982,-7.50E-05,-9.38E-04,0.023
0.18,-1.64E-04,-0.007,-0.003,0,6.94E-16,-7.50E-05,0,1.36E-17
0.2,-7.65E-05,-0.003,-0.003,-0.039,-0.982,-7.50E-05,-9.38E-04,-0.023
0.22,-2.08E-04,-0.008,-0.005,-0.039,0.982,-1.13E-04,-9.38E-04,0.023
0.24,-1.64E-04,-0.007,-0.005,0,0.982,-1.13E-04,0,0.023
0.26,-1.64E-04,-0.007,-0.005,0,0,-1.13E-04,0,0
0.28,-1.20E-04,-0.005,-0.005,0,0,-1.13E-04,0,0
0.3,-2.08E-04,-0.008,-0.005,0,0,-1.13E-04,0,0
0.32,-1.20E-04,-0.005,-0.005,0,-0.982,-1.13E-04,0,-0.023
0.34,-1.64E-04,-0.007,-0.005,-0.039,-1.963,-1.13E-04,-9.38E-04,-0.047
0.36,-7.65E-05,-0.003,-0.006,-0.079,1.91E-15,-1.50E-04,-0.002,3.25E-17
0.38,-1.20E-04,-0.005,-0.008,-0.039,0.982,-1.88E-04,-9.38E-04,0.023
0.4,-1.20E-04,-0.005,-0.008,-0.039,-1.91E-15,-1.88E-04,-9.38E-04,-3.25E-17
0.42,-7.65E-05,-0.003,-0.009,-0.039,0.982,-2.25E-04,-9.38E-04,0.023
0.44,-1.64E-04,-0.007,-0.009,0,0.982,-2.25E-04,0,0.023
0.46,-1.20E-04,-0.005,-0.009,0,0,-2.25E-04,0,0
0.48,-1.64E-04,-0.007,-0.009,0,0,-2.25E-04,0,0
0.5,-7.65E-05,-0.003,-0.009,0,0,-2.25E-04,0,0
0.52,-7.65E-05,-0.003,-0.009,0,0.982,-2.25E-04,0,0.023
0.54,-1.64E-04,-0.007,-0.009,0.039,0.982,-2.25E-04,9.38E-04,0.023
0.56,-1.20E-04,-0.005,-0.008,0.039,-0.982,-1.88E-04,9.38E-04,-0.023
0.58,-7.65E-05,-0.003,-0.008,0,-0.982,-1.88E-04,0,-0.023
0.6,-1.64E-04,-0.007,-0.008,0,0.982,-1.88E-04,0,0.023
0.62,-7.65E-05,-0.003,-0.008,0.039,3.927,-1.88E-04,9.38E-04,0.094
0.64,-1.64E-04,-0.007,-0.006,0.157,4.909,-1.50E-04,0.004,0.117
0.66,-1.64E-04,-0.007,-0.002,0.236,-9.817,-3.75E-05,0.006,-0.234
0.68,-1.20E-04,-0.005,0.003,-0.236,-32.398,7.50E-05,-0.006,-0.773
0.7,-1.20E-04,-0.005,-0.011,-1.06,-338.703,-2.63E-04,-0.025,-8.086
0.72,-7.65E-05,-0.003,-0.039,-13.784,-935.606,-9.38E-04,-0.329,-22.336
0.74,-1.20E-04,-0.005,-0.562,-38.485,-521.308,-0.0134,-0.919,-12.445
0.76,-1.20E-04,-0.005,-1.579,-34.636,904.19,-0.0377,-0.827,21.586
0.78,-2.08E-04,-0.008,-1.948,-2.317,1236.021,-0.0465,-0.055,29.508
0.8,-1.20E-04,-0.005,-1.671,14.805,239.547,-0.0399,0.353,5.719
0.82,-1.20E-04,-0.005,-1.356,7.265,-587.086,-0.0324,0.173,-14.016
0.84,-1.20E-04,-0.005,-1.381,-8.679,-512.473,-0.033,-0.207,-12.234
0.86,-1.20E-04,-0.005,-1.703,-13.234,193.404,-0.0407,-0.316,4.617
0.88,-1.20E-04,-0.005,-1.91,-0.942,625.374,-0.0456,-0.023,14.93
0.9,-1.64E-04,-0.007,-1.74,11.781,247.401,-0.0416,0.281,5.906
0.92,-1.20E-04,-0.005,-1.439,8.954,-409.389,-0.0344,0.214,-9.773
0.94,-7.65E-05,-0.003,-1.382,-4.595,-520.327,-0.033,-0.11,-12.422
0.96,-1.64E-04,-0.007,-1.623,-11.86,5.89,-0.0387,-0.283,0.141
0.98,-1.20E-04,-0.005,-1.857,-4.359,498.728,-0.0443,-0.104,11.906
1,-7.65E-05,-0.003,-1.797,8.09,357.356,-0.0429,0.193,8.531
