Time (s),T (N · m),Force (N),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
0,0.00137,0.055,0.002,,,3.75E-05,,
0.02,0.00158,0.063,0.005,0.157,,1.13E-04,0.004,
0.04,0.0018,0.072,0.008,0.196,2.945,1.88E-04,0.005,0.07
0.06,0.00167,0.067,0.013,0.275,2.945,3.00E-04,0.007,0.07
0.08,0.00154,0.062,0.019,0.314,0,4.50E-04,0.007,-2.17E-17
0.1,0.00119,0.048,0.025,0.275,-1.963,6.00E-04,0.007,-0.047
0.12,0.00119,0.048,0.03,0.236,0,7.13E-04,0.006,-4.34E-17
0.14,0.00137,0.055,0.035,0.275,1.39E-15,8.25E-04,0.007,1.74E-16
0.16,0.00102,0.041,0.041,0.236,-2.945,9.75E-04,0.006,-0.07
0.18,7.97E-04,0.032,0.044,0.157,-2.945,0.001,0.004,-0.07
0.2,5.35E-04,0.021,0.047,0.118,-1.963,0.0011,0.003,-0.047
0.22,4.91E-04,0.02,0.049,0.079,-1.963,0.0012,0.002,-0.047
0.24,9.72E-04,0.039,0.05,0.039,-2.945,0.0012,9.38E-04,-0.07
0.26,0.00193,0.077,0.05,-0.039,-1.963,0.0012,-9.38E-04,-0.047
0.28,0.00268,0.107,0.049,-0.039,1.963,0.0012,-9.38E-04,0.047
0.3,0.00294,0.118,0.049,0.039,2.945,0.0012,9.38E-04,0.07
0.32,0.00337,0.135,0.05,0.079,1.963,0.0012,0.002,0.047
0.34,0.00346,0.138,0.052,0.118,2.945,0.0012,0.003,0.07
0.36,0.00351,0.14,0.055,0.196,3.927,0.0013,0.005,0.094
0.38,0.00399,0.159,0.06,0.275,2.945,0.0014,0.007,0.07
0.4,0.00407,0.163,0.066,0.314,1.963,0.0016,0.008,0.047
0.42,0.0039,0.156,0.072,0.353,1.963,0.0017,0.008,0.047
0.44,0.00364,0.145,0.08,0.393,0,0.0019,0.009,1.30E-16
0.46,0.00311,0.125,0.088,0.353,-0.982,0.0021,0.008,-0.023
0.48,0.00289,0.116,0.094,0.353,-1.11E-14,0.0022,0.008,-3.04E-16
0.5,0.00316,0.126,0.102,0.353,-1.963,0.0024,0.008,-0.047
0.52,0.00351,0.14,0.108,0.275,-1.963,0.0026,0.007,-0.047
0.54,0.00429,0.172,0.113,0.275,0.982,0.0027,0.007,0.023
0.56,0.00499,0.2,0.119,0.314,1.963,0.0029,0.008,0.047
0.58,0.00552,0.221,0.126,0.353,1.963,0.003,0.008,0.047
0.6,0.00635,0.254,0.134,0.393,0.982,0.0032,0.009,0.023
0.62,0.00718,0.287,0.141,0.393,1.963,0.0034,0.009,0.047
0.64,0.00796,0.318,0.149,0.471,3.927,0.0036,0.011,0.094
0.66,0.00897,0.359,0.16,0.55,3.927,0.0038,0.013,0.094
0.68,0.01028,0.411,0.171,0.628,4.909,0.0041,0.015,0.117
0.7,0.01137,0.455,0.185,0.746,4.909,0.0044,0.018,0.117
0.72,0.00923,0.369,0.201,0.825,3.927,0.0048,0.02,0.094
0.74,0.01434,0.574,0.218,0.903,4.909,0.0052,0.022,0.117
0.76,0.01425,0.57,0.237,1.021,5.89,0.0057,0.024,0.141
0.78,0.01425,0.57,0.259,1.139,4.909,0.0062,0.027,0.117
0.8,0.0153,0.612,0.283,1.217,4.909,0.0068,0.029,0.117
0.82,0.01687,0.675,0.308,1.335,5.89,0.0074,0.032,0.141
0.84,0.01757,0.703,0.336,1.453,4.909,0.008,0.035,0.117
0.86,0.01963,0.785,0.366,1.532,2.945,0.0087,0.037,0.07
0.88,0.01897,0.759,0.397,1.571,1.963,0.0095,0.037,0.047
0.9,0.01976,0.79,0.429,1.61,1.963,0.0102,0.038,0.047
0.92,0.02089,0.836,0.462,1.649,0.982,0.011,0.039,0.023
0.94,0.02168,0.867,0.495,1.649,-0.982,0.0118,0.039,-0.023
0.96,0.02282,0.913,0.528,1.61,-1.963,0.0126,0.038,-0.047
0.98,0.02421,0.969,0.559,1.571,-0.982,0.0134,0.038,-0.023
1,0.02627,1.051,0.591,1.571,0.982,0.0141,0.037,0.023
1.02,0.02815,1.126,0.622,1.61,0.982,0.0149,0.038,0.023
1.04,0.0302,1.208,0.655,1.61,0,0.0156,0.038,-1.04E-15
1.06,0.03212,1.285,0.686,1.61,0.982,0.0164,0.038,0.023
1.08,0.03369,1.348,0.719,1.649,0.982,0.0172,0.039,0.023
1.1,0.03487,1.395,0.752,1.649,0,0.018,0.039,0
1.12,0.03601,1.44,0.785,1.649,0.982,0.0188,0.039,0.023
1.14,0.03758,1.503,0.818,1.689,0.982,0.0195,0.04,0.023
1.16,0.04016,1.606,0.853,1.689,0.982,0.0204,0.04,0.023
1.18,0.04274,1.709,0.886,1.728,2.945,0.0212,0.041,0.07
1.2,0.04444,1.778,0.922,1.806,1.963,0.022,0.043,0.047
1.22,0.0451,1.804,0.958,1.806,0.982,0.0229,0.043,0.023
1.24,0.04671,1.869,0.994,1.846,2.945,0.0237,0.044,0.07
1.26,0.05051,2.021,1.032,1.924,2.945,0.0246,0.046,0.07
1.28,0.05209,2.083,1.071,1.963,2.945,0.0256,0.047,0.07
1.3,0.05383,2.153,1.111,2.042,3.927,0.0265,0.049,0.094
1.32,0.05519,2.208,1.153,2.121,1.963,0.0275,0.051,0.047
1.34,0.05615,2.246,1.195,2.121,0.982,0.0285,0.051,0.023
1.36,0.05838,2.335,1.238,2.16,2.945,0.0296,0.052,0.07
1.38,0.06021,2.408,1.282,2.238,1.963,0.0306,0.053,0.047
1.4,0.06227,2.491,1.327,2.238,0.982,0.0317,0.053,0.023
1.42,0.06506,2.602,1.371,2.278,2.945,0.0327,0.054,0.07
1.44,0.06808,2.723,1.418,2.356,2.945,0.0339,0.056,0.07
1.46,0.07048,2.819,1.466,2.395,2.945,0.035,0.057,0.07
1.48,0.07244,2.898,1.514,2.474,2.945,0.0362,0.059,0.07
1.5,0.07341,2.936,1.565,2.513,0.982,0.0374,0.06,0.023
1.52,0.07559,3.024,1.615,2.513,0,0.0386,0.06,0
1.54,0.07747,3.099,1.665,2.513,-0.982,0.0398,0.06,-0.023
1.56,0.07804,3.121,1.715,2.474,-2.945,0.041,0.059,-0.07
1.58,0.07926,3.17,1.764,2.395,-2.945,0.0421,0.057,-0.07
1.6,0.0821,3.284,1.811,2.356,-2.945,0.0432,0.056,-0.07
1.62,0.08407,3.363,1.858,2.278,-4.909,0.0444,0.054,-0.117
1.64,0.08612,3.445,1.902,2.16,-3.927,0.0454,0.052,-0.094
1.66,0.0894,3.576,1.945,2.121,-2.945,0.0464,0.051,-0.07
1.68,0.09127,3.651,1.987,2.042,-4.909,0.0474,0.049,-0.117
1.7,0.09127,3.651,2.026,1.924,-5.89,0.0484,0.046,-0.141
1.72,0.09197,3.679,2.064,1.806,-5.89,0.0493,0.043,-0.141
1.74,0.09232,3.693,2.099,1.689,-5.89,0.0501,0.04,-0.141
1.76,0.09778,3.911,2.132,1.571,-5.89,0.0509,0.037,-0.141
1.78,0.09962,3.985,2.161,1.453,-3.927,0.0516,0.035,-0.094
1.8,0.10202,4.081,2.19,1.414,-0.982,0.0523,0.034,-0.023
1.82,0.10442,4.177,2.218,1.414,0,0.053,0.034,0
1.84,0.10656,4.263,2.246,1.414,-0.982,0.0536,0.034,-0.023
1.86,0.10779,4.312,2.275,1.374,-0.982,0.0543,0.033,-0.023
1.88,0.1108,4.432,2.301,1.374,1.963,0.0549,0.033,0.047
1.9,0.11364,4.546,2.329,1.453,4.909,0.0556,0.035,0.117
1.92,0.11653,4.661,2.359,1.571,4.909,0.0563,0.038,0.117
1.94,0.11762,4.705,2.392,1.649,1.963,0.0571,0.039,0.047
1.96,0.1167,4.668,2.425,1.649,0.982,0.0579,0.039,0.023
1.98,0.11801,4.72,2.458,1.689,0.982,0.0587,0.04,0.023
2,0.12168,4.867,2.493,1.689,-0.982,0.0595,0.04,-0.023
2.02,0.12133,4.853,2.526,1.649,-1.963,0.0603,0.039,-0.047
2.04,0.11989,4.796,2.559,1.61,-3.927,0.0611,0.038,-0.094
2.06,0.12212,4.885,2.59,1.492,-5.89,0.0618,0.036,-0.141
2.08,0.12076,4.831,2.619,1.374,-5.89,0.0625,0.033,-0.141
2.1,0.12386,4.955,2.645,1.257,-6.872,0.0631,0.03,-0.164
2.12,0.12317,4.927,2.669,1.1,-6.872,0.0637,0.026,-0.164
2.14,0.12684,5.073,2.689,0.982,-3.927,0.0642,0.023,-0.094
2.16,0.12753,5.101,2.708,0.942,-2.945,0.0646,0.023,-0.07
2.18,0.12767,5.107,2.727,0.864,-3.927,0.0651,0.021,-0.094
2.2,0.13077,5.231,2.743,0.785,-0.982,0.0655,0.019,-0.023
2.22,0.1316,5.264,2.758,0.825,0.982,0.0658,0.02,0.023
2.24,0.13361,5.344,2.776,0.825,0,0.0663,0.02,0
2.26,0.13396,5.358,2.791,0.825,1.963,0.0666,0.02,0.047
2.28,0.13627,5.451,2.809,0.903,3.927,0.067,0.022,0.094
2.3,0.13763,5.505,2.827,0.982,3.927,0.0675,0.023,0.094
2.32,0.13868,5.547,2.848,1.06,3.927,0.068,0.025,0.094
2.34,0.13977,5.591,2.87,1.139,4.909,0.0685,0.027,0.117
2.36,0.14405,5.762,2.893,1.257,5.89,0.0691,0.03,0.141
2.38,0.1451,5.804,2.92,1.374,4.909,0.0697,0.033,0.117
2.4,0.14352,5.741,2.948,1.453,2.945,0.0704,0.035,0.07
2.42,0.14483,5.793,2.978,1.492,1.963,0.0711,0.036,0.047
2.44,0.14811,5.924,3.008,1.532,1.963,0.0718,0.037,0.047
2.46,0.14829,5.931,3.039,1.571,0.982,0.0726,0.037,0.023
2.48,0.14947,5.979,3.071,1.571,-0.982,0.0733,0.037,-0.023
2.5,0.14881,5.952,3.102,1.532,-2.945,0.0741,0.037,-0.07
2.52,0.14837,5.935,3.132,1.453,-4.909,0.0748,0.035,-0.117
2.54,0.14999,6,3.16,1.335,-5.89,0.0754,0.032,-0.141
2.56,0.15252,6.101,3.186,1.217,-4.909,0.0761,0.029,-0.117
2.58,0.1534,6.136,3.209,1.139,-3.927,0.0766,0.027,-0.094
2.6,0.15458,6.183,3.231,1.06,-3.927,0.0771,0.025,-0.094
2.62,0.15493,6.197,3.252,0.982,-3.927,0.0776,0.023,-0.094
2.64,0.15742,6.297,3.27,0.903,-2.945,0.0781,0.022,-0.07
2.66,0.16043,6.417,3.288,0.864,0,0.0785,0.021,0
2.68,0.16209,6.484,3.305,0.903,1.963,0.0789,0.022,0.047
2.7,0.16358,6.543,3.324,0.942,1.963,0.0793,0.023,0.047
2.72,0.16624,6.65,3.343,0.982,2.945,0.0798,0.023,0.07
2.74,0.1672,6.688,3.363,1.06,3.927,0.0803,0.025,0.094
2.76,0.16803,6.721,3.385,1.139,2.945,0.0808,0.027,0.07
2.78,0.16847,6.739,3.409,1.178,0.982,0.0814,0.028,0.023
2.8,0.1679,6.716,3.432,1.178,3.28E-13,0.0819,0.028,7.81E-15
2.82,0.16825,6.73,3.456,1.178,-3.28E-13,0.0825,0.028,-7.81E-15
2.84,0.16965,6.786,3.479,1.178,-0.982,0.0831,0.028,-0.023
2.86,0.17118,6.847,3.503,1.139,-0.982,0.0836,0.027,-0.023
2.88,0.17205,6.882,3.525,1.139,0,0.0841,0.027,0
2.9,0.17271,6.908,3.548,1.139,-1.963,0.0847,0.027,-0.047
2.92,0.17258,6.903,3.57,1.06,-3.927,0.0852,0.025,-0.094
2.94,0.17188,6.875,3.591,0.982,-3.927,0.0857,0.023,-0.094
2.96,0.17419,6.968,3.61,0.903,-2.945,0.0862,0.022,-0.07
2.98,0.17476,6.99,3.627,0.864,-2.945,0.0866,0.021,-0.07
3,0.17485,6.994,3.644,0.785,-4.909,0.087,0.019,-0.117
3.02,0.17594,7.038,3.658,0.668,-3.927,0.0873,0.016,-0.094
3.04,0.17677,7.071,3.671,0.628,-1.963,0.0876,0.015,-0.047
3.06,0.17948,7.179,3.684,0.589,-0.982,0.0879,0.014,-0.023
3.08,0.1814,7.256,3.695,0.589,0.982,0.0882,0.014,0.023
3.1,0.18188,7.275,3.707,0.628,1.963,0.0885,0.015,0.047
3.12,0.18223,7.289,3.72,0.668,0.982,0.0888,0.016,0.023
3.14,0.18254,7.301,3.734,0.668,0,0.0891,0.016,0
3.16,0.18332,7.333,3.746,0.668,0.982,0.0894,0.016,0.023
3.18,0.18485,7.394,3.76,0.707,1.963,0.0898,0.017,0.047
3.2,0.18608,7.443,3.775,0.746,2.945,0.0901,0.018,0.07
3.22,0.18708,7.483,3.79,0.825,2.945,0.0905,0.02,0.07
3.24,0.18682,7.473,3.808,0.864,0.982,0.0909,0.021,0.023
3.26,0.1866,7.464,3.825,0.864,0,0.0913,0.021,0
3.28,0.18625,7.45,3.842,0.864,-0.982,0.0917,0.021,-0.023
3.3,0.1866,7.464,3.859,0.825,-1.963,0.0921,0.02,-0.047
3.32,0.18765,7.506,3.875,0.785,-0.982,0.0925,0.019,-0.023
3.34,0.18905,7.562,3.891,0.785,-1.963,0.0929,0.019,-0.047
3.36,0.18861,7.544,3.907,0.707,-2.945,0.0933,0.017,-0.07
3.38,0.18992,7.597,3.919,0.668,-4.75E-13,0.0936,0.016,3.99E-15
3.4,0.1921,7.684,3.933,0.707,0.982,0.0939,0.017,0.023
3.42,0.19385,7.754,3.947,0.707,0.982,0.0942,0.017,0.023
3.44,0.19477,7.791,3.962,0.746,1.963,0.0946,0.018,0.047
3.46,0.19556,7.822,3.977,0.785,1.963,0.0949,0.019,0.047
3.48,0.19595,7.838,3.993,0.825,1.963,0.0953,0.02,0.047
3.5,0.1963,7.852,4.01,0.864,1.963,0.0957,0.021,0.047
3.52,0.19665,7.866,4.028,0.903,0.982,0.0961,0.022,0.023
3.54,0.19709,7.883,4.046,0.903,0,0.0966,0.022,0
3.56,0.19822,7.929,4.064,0.903,0,0.097,0.022,0
3.58,0.19818,7.927,4.083,0.903,-0.982,0.0975,0.022,-0.023
3.6,0.19962,7.985,4.1,0.864,-0.982,0.0979,0.021,-0.023
3.62,0.20014,8.006,4.117,0.864,-0.982,0.0983,0.021,-0.023
3.64,0.20027,8.011,4.134,0.825,-1.963,0.0987,0.02,-0.047
3.66,0.20062,8.025,4.15,0.785,-0.982,0.0991,0.019,-0.023
3.68,0.20124,8.049,4.166,0.785,-1.963,0.0994,0.019,-0.047
3.7,0.20193,8.077,4.181,0.707,-3.927,0.0998,0.017,-0.094
3.72,0.20093,8.037,4.194,0.628,-2.945,0.1001,0.015,-0.07
3.74,0.20224,8.09,4.207,0.589,-3.927,0.1004,0.014,-0.094
3.76,0.20259,8.104,4.218,0.471,-3.927,0.1007,0.011,-0.094
3.78,0.20364,8.146,4.225,0.432,-1.963,0.1009,0.01,-0.047
3.8,0.2039,8.156,4.235,0.393,-2.945,0.1011,0.009,-0.07
3.82,0.20451,8.18,4.241,0.314,-2.945,0.1012,0.007,-0.07
3.84,0.20604,8.242,4.247,0.275,-0.982,0.1014,0.007,-0.023
3.86,0.20617,8.247,4.252,0.275,-7.63E-14,0.1015,0.007,-1.82E-15
3.88,0.20674,8.27,4.258,0.275,0,0.1017,0.007,0
3.9,0.20761,8.305,4.263,0.275,0.982,0.1018,0.007,0.023
3.92,0.20814,8.326,4.269,0.314,1.963,0.1019,0.007,0.047
3.94,0.20871,8.348,4.276,0.353,1.963,0.1021,0.008,0.047
3.96,0.21002,8.401,4.284,0.393,1.963,0.1023,0.009,0.047
3.98,0.21058,8.423,4.291,0.432,2.945,0.1024,0.01,0.07
4,0.21155,8.462,4.301,0.511,3.927,0.1027,0.012,0.094
4.02,0.2108,8.432,4.312,0.589,1.963,0.1029,0.014,0.047
4.04,0.21058,8.423,4.324,0.589,0,0.1032,0.014,0
4.06,0.21111,8.444,4.335,0.589,1.963,0.1035,0.014,0.047
