Time (s),T (N · m),Force (N),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
0,7.97E-04,0.032,0.005,,,1.13E-04,,
0.02,8.85E-04,0.035,0.017,0.668,,4.13E-04,0.016,
0.04,9.72E-04,0.039,0.031,0.589,-7.854,7.50E-04,0.014,-0.187
0.06,9.72E-04,0.039,0.041,0.353,-10.799,9.75E-04,0.008,-0.258
0.08,8.41E-04,0.034,0.046,0.157,-8.836,0.0011,0.004,-0.211
0.1,7.10E-04,0.028,0.047,0,-6.872,0.0011,0,-0.164
0.12,5.79E-04,0.023,0.046,-0.118,-4.909,0.0011,-0.003,-0.117
0.14,4.04E-04,0.016,0.042,-0.196,-0.982,0.001,-0.005,-0.023
0.16,5.35E-04,0.021,0.038,-0.157,3.927,9.00E-04,-0.004,0.094
0.18,7.97E-04,0.032,0.036,-0.039,4.909,8.63E-04,-9.38E-04,0.117
0.2,9.28E-04,0.037,0.036,0.039,1.963,8.63E-04,9.38E-04,0.047
0.22,0.00106,0.042,0.038,0.039,-0.982,9.00E-04,9.38E-04,-0.023
0.24,0.00106,0.042,0.038,0,-0.982,9.00E-04,0,-0.023
0.26,0.00106,0.042,0.038,0,-0.982,9.00E-04,0,-0.023
0.28,0.00102,0.041,0.038,-0.039,-1.963,9.00E-04,-9.38E-04,-0.047
0.3,0.00106,0.042,0.036,-0.079,1.39E-15,8.63E-04,-0.002,3.25E-17
0.32,0.0011,0.044,0.035,-0.039,2.945,8.25E-04,-9.38E-04,0.07
0.34,0.00115,0.046,0.035,0.039,2.945,8.25E-04,9.38E-04,0.07
0.36,0.0011,0.044,0.036,0.079,1.963,8.63E-04,0.002,0.047
0.38,0.0011,0.044,0.038,0.118,3.927,9.00E-04,0.003,0.094
0.4,0.00119,0.048,0.041,0.236,4.909,9.75E-04,0.006,0.117
0.42,-3.28E-05,-0.001,0.047,0.314,3.927,0.0011,0.008,0.094
0.44,1.09E-05,4.37E-04,0.053,0.393,4.909,0.0013,0.009,0.117
0.46,9.83E-05,0.004,0.063,0.511,5.89,0.0015,0.012,0.141
