Time (s),T (N · m),Force (N),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
0,8.85E-04,0.035,0.002,,,3.75E-05,,
0.02,8.85E-04,0.035,0.002,0.039,,3.75E-05,9.38E-04,
0.04,8.41E-04,0.034,0.003,0.079,0.982,7.50E-05,0.002,0.023
0.06,7.97E-04,0.032,0.005,0.079,-0.982,1.13E-04,0.002,-0.023
0.08,8.41E-04,0.034,0.006,0.039,-0.982,1.50E-04,9.38E-04,-0.023
0.1,7.97E-04,0.032,0.006,0.039,0.982,1.50E-04,9.38E-04,0.023
0.12,7.97E-04,0.032,0.008,0.079,1.74E-16,1.88E-04,0.002,-8.13E-18
0.14,7.97E-04,0.032,0.009,0.039,-0.982,2.25E-04,9.38E-04,-0.023
0.16,8.41E-04,0.034,0.009,0.039,0.982,2.25E-04,9.38E-04,0.023
0.18,7.97E-04,0.032,0.011,0.079,-6.94E-16,2.63E-04,0.002,-3.52E-17
0.2,8.41E-04,0.034,0.013,0.039,-0.982,3.00E-04,9.38E-04,-0.023
0.22,8.85E-04,0.035,0.013,0.039,0.982,3.00E-04,9.38E-04,0.023
0.24,8.85E-04,0.035,0.014,0.079,-2.43E-15,3.38E-04,0.002,-3.25E-17
0.26,8.41E-04,0.034,0.016,0.039,-0.982,3.75E-04,9.38E-04,-0.023
0.28,8.41E-04,0.034,0.016,0.039,1.39E-15,3.75E-04,9.38E-04,3.25E-17
0.3,8.85E-04,0.035,0.017,0.039,-1.39E-15,4.13E-04,9.38E-04,-3.25E-17
0.32,8.85E-04,0.035,0.017,0.039,0,4.13E-04,9.38E-04,0
0.34,8.85E-04,0.035,0.019,0.039,1.39E-15,4.50E-04,9.38E-04,3.25E-17
0.36,8.85E-04,0.035,0.019,0.039,-1.39E-15,4.50E-04,9.38E-04,-3.25E-17
0.38,8.85E-04,0.035,0.02,0.039,-1.39E-15,4.88E-04,9.38E-04,2.71E-18
0.4,8.85E-04,0.035,0.02,0.039,1.39E-15,4.88E-04,9.38E-04,6.78E-17
0.42,8.85E-04,0.035,0.022,0.039,1.39E-15,5.25E-04,9.38E-04,-2.71E-18
0.44,8.85E-04,0.035,0.022,0.039,-1.39E-15,5.25E-04,9.38E-04,-6.78E-17
0.46,8.85E-04,0.035,0.024,0.039,-0.982,5.63E-04,9.38E-04,-0.023
0.48,8.85E-04,0.035,0.024,0,1.39E-15,5.63E-04,0,3.25E-17
0.5,8.85E-04,0.035,0.024,0.039,0.982,5.63E-04,9.38E-04,0.023
