1 Bar Leather,2 Bar Leather,3 Bar Leather,4 Bar Leather,1 Bar Felt,2 Bar Felt,3 Bar Felt,4 Bar Felt
0.002,-0.008,-0.011,-0.003,-0.006,-0.011,0.178,-0.006
0.004,-0.006,-0.008,-0.006,-0.008,-0.01,0.18,-0.004
0.002,-0.004,-0.006,-0.004,-0.008,-0.011,0.178,-0.008
0.002,-0.006,-0.008,-0.004,-0.006,-0.01,0.178,-0.004
-0.0009672,-0.006,-0.008,-0.004,-0.008,-0.013,0.181,-0.006
0.002,-0.006,-0.01,-0.004,-0.008,-0.01,0.18,-0.004
-0.0009672,-0.004,-0.006,-0.004,-0.008,-0.015,0.18,-0.004
0.0007522,-0.008,-0.008,-0.004,-0.008,-0.011,0.178,-0.006
-0.0009672,-0.006,-0.01,-0.003,-0.01,-0.011,0.183,-0.006
0.0007522,-0.006,-0.008,-0.006,-0.008,-0.011,0.183,-0.004
0.002,-0.006,-0.008,-0.006,-0.008,-0.011,0.18,-0.003
0.002,-0.006,-0.01,-0.006,-0.006,-0.011,0.183,-0.006
-0.0009672,-0.008,-0.004,-0.004,-0.006,-0.013,0.183,-0.006
0.002,-0.008,-0.006,-0.004,-0.008,-0.01,0.183,-0.006
0.0007522,-0.006,-0.004,-0.008,-0.008,-0.013,0.181,-0.004
-0.0009672,-0.006,-0.006,-0.003,-0.008,-0.01,0.185,-0.008
-0.0009672,-0.006,-0.008,-0.006,-0.01,-0.011,0.188,-0.006
0.002,-0.006,-0.006,-0.004,-0.008,-0.011,0.185,-0.006
0.0007522,-0.008,-0.006,-0.004,-0.008,-0.013,0.183,-0.008
0.0007522,-0.008,-0.006,-0.003,-0.003,-0.01,0.186,-0.008
0.006,-0.006,-0.006,-0.006,-0.008,-0.013,0.186,-0.004
0.002,-0.006,-0.004,-0.004,-0.006,-0.013,0.19,-0.008
0.004,-0.006,-0.006,-0.004,-0.004,-0.01,0.186,-0.006
0.002,-0.006,-0.008,-0.004,-0.006,-0.01,0.19,-0.008
0.0007522,-0.006,-0.008,-0.008,-0.006,-0.01,0.192,-0.008
0.002,-0.004,-0.008,-0.006,-0.006,-0.01,0.188,-0.006
-0.003,-0.006,-0.008,-0.004,-0.003,-0.011,0.185,-0.008
0.0007522,-0.006,-0.008,-0.008,-0.004,-0.013,0.188,-0.008
0.0007522,-0.006,-0.008,-0.004,-0.008,-0.01,0.188,-0.008
0.006,-0.003,-0.006,-0.006,-0.006,-0.008,0.188,-0.008
0.002,-0.008,-0.006,-0.006,-0.008,-0.01,0.188,-0.008
-0.0009672,-0.006,-0.006,-0.0009672,-0.008,-0.013,0.192,-0.004
-0.0009672,-0.004,-0.008,-0.006,-0.008,-0.015,0.19,-0.006
-0.0009672,-0.006,-0.008,-0.006,-0.01,-0.01,0.192,-0.01
-0.0009672,-0.006,-0.004,-0.006,-0.013,-0.006,0.19,-0.006
0.0007522,-0.008,-0.008,-0.004,-0.01,-0.01,0.192,-0.006
0.002,-0.004,-0.006,-0.004,-0.008,-0.008,0.192,-0.006
0.004,-0.006,-0.006,-0.006,-0.008,-0.008,0.211,-0.008
0.0007522,-0.008,-0.006,-0.003,-0.008,-0.01,0.231,-0.006
0.002,-0.006,-0.006,-0.006,-0.01,-0.01,0.24,-0.01
0.0007522,-0.004,-0.004,-0.006,-0.011,-0.008,0.24,-0.004
-0.0009672,-0.004,-0.004,-0.004,-0.01,-0.01,0.236,-0.003
0.002,-0.006,-0.006,-0.006,-0.006,-0.011,0.235,-0.008
-0.0009672,-0.008,-0.008,-0.008,-0.006,-0.01,0.235,-0.006
0.0007522,0.004,-0.006,-0.006,-0.004,-0.008,0.236,-0.004
0.0007522,0.004,-0.006,-0.004,-0.008,-0.011,0.235,-0.003
0.0007522,-0.0009672,-0.006,-0.004,-0.004,-0.01,0.236,-0.006
0.0007522,-0.003,-0.006,-0.006,-0.006,-0.011,0.236,-0.003
0.004,-0.0009672,-0.008,-0.004,-0.006,-0.011,0.235,-0.003
0.0007522,0.0007522,-0.01,-0.008,-0.004,-0.01,0.238,-0.0009672
0.0007522,-0.0009672,-0.008,-0.006,-0.006,-0.011,0.235,0.002
0.002,0.0007522,-0.006,-0.004,-0.003,-0.008,0.236,0.011
0.002,0.004,-0.006,-0.006,-0.006,-0.008,0.236,0.039
-0.0009672,0.004,-0.003,-0.006,-0.003,-0.01,0.236,0.092
0.002,-0.0009672,-0.003,-0.006,-0.006,-0.01,0.236,0.173
0.0007522,-0.004,-0.008,-0.006,-0.008,-0.011,0.238,0.267
0.0007522,-0.006,-0.008,-0.006,-0.006,-0.01,0.235,0.357
0.002,-0.006,-0.004,-0.003,-0.006,-0.01,0.236,0.443
0.002,-0.006,-0.004,-0.004,0.004,-0.01,0.235,0.523
-0.0009672,-0.003,-0.006,-0.006,0.156,-0.008,0.235,0.596
0.002,0.02,-0.006,-0.006,0.537,-0.01,0.233,0.659
0.002,0.331,-0.004,-0.003,0.766,-0.011,0.236,0.706
0.0007522,1.024,-0.006,-0.006,0.812,-0.011,0.241,0.747
-0.0009672,0.957,-0.01,-0.006,0.821,-0.011,0.255,0.787
0.0007522,0.601,-0.006,-0.008,0.854,-0.01,0.293,0.814
0.0007522,0.699,-0.008,-0.004,0.893,-0.01,0.329,0.835
0.0007522,0.903,-0.006,-0.004,0.912,-0.01,0.352,0.845
0.002,0.933,-0.006,-0.004,0.912,-0.011,0.377,0.857
0.002,0.883,-0.003,-0.004,0.902,-0.008,0.434,0.874
0.004,0.824,-0.008,-0.004,0.898,-0.011,0.493,0.897
0.002,0.762,-0.006,-0.008,0.905,-0.011,0.542,0.917
0.0007522,0.697,-0.006,-0.004,0.931,-0.01,0.592,0.943
-0.0009672,0.652,-0.003,-0.004,0.976,-0.008,0.649,0.969
-0.0009672,0.635,-0.006,-0.004,1.039,-0.01,0.709,1.008
0.002,0.633,-0.004,-0.003,1.125,-0.008,0.78,1.06
0.002,0.644,-0.006,-0.008,1.254,-0.008,0.833,1.125
0.0007522,0.68,-0.008,-0.006,1.406,-0.008,0.862,1.194
0.0007522,0.735,-0.008,-0.008,1.576,-0.011,0.89,1.265
0.0007522,0.792,-0.008,-0.004,1.732,-0.013,0.919,1.328
0.009,0.86,-0.006,-0.004,1.859,-0.01,0.953,1.412
0.002,0.929,-0.004,-0.004,1.935,-0.013,1.001,1.504
0.002,1.01,-0.004,-0.006,1.959,-0.015,1.058,1.598
0.004,1.12,-0.006,-0.008,1.94,-0.011,1.132,1.694
0.002,1.235,-0.004,-0.008,1.928,-0.01,1.206,1.77
0.004,1.337,-0.004,-0.01,1.966,-0.01,1.271,1.841
0.004,1.433,0.0007522,-0.006,2.035,-0.011,1.314,1.89
0.002,1.531,-0.004,-0.004,2.121,-0.013,1.352,1.906
-0.0009672,1.612,-0.004,-0.01,2.193,-0.013,1.395,1.911
0.002,1.672,-0.004,-0.008,2.231,-0.01,1.424,1.914
0.002,1.748,-0.006,-0.006,2.215,-0.01,1.449,1.928
0.0007522,1.853,-0.006,-0.006,2.166,-0.003,1.486,1.959
0.002,1.987,-0.006,-0.006,2.116,-0.008,1.531,2
0.002,2.097,-0.003,-0.008,2.064,-0.008,1.572,2.042
0.004,2.172,-0.003,-0.006,2.006,-0.01,1.612,2.08
0.002,2.231,-0.006,-0.004,1.942,-0.011,1.672,2.104
0.004,2.289,-0.003,-0.003,1.882,-0.008,1.736,2.124
0.004,2.353,-0.0009672,-0.003,1.825,-0.01,1.798,2.157
-0.0009672,2.392,0.002,-0.006,1.76,-0.011,1.842,2.219
0.002,2.405,0.032,-0.004,1.688,-0.011,1.873,2.294
0.0007522,2.423,0.264,-0.006,1.627,-0.013,1.906,2.358
-0.003,2.484,0.745,-0.004,1.589,-0.01,1.957,2.396
0.0007522,2.561,0.941,-0.006,1.584,-0.01,2.019,2.43
-0.003,2.637,0.816,-0.004,1.589,-0.01,2.083,2.47
0.002,2.723,0.749,-0.004,1.579,-0.011,2.143,2.523
0.015,2.831,0.874,-0.006,1.545,-0.011,2.217,2.575
0.021,2.962,1.041,-0.003,1.516,-0.015,2.282,2.628
0.033,3.054,1.044,-0.004,1.493,-0.013,2.339,2.685
0.195,3.101,0.955,-0.004,1.461,-0.013,2.396,2.728
0.453,3.132,0.912,-0.006,1.428,-0.013,2.46,2.735
0.676,3.151,0.965,-0.006,1.419,-0.011,2.537,2.723
0.85,3.152,1.02,-0.004,1.433,-0.01,2.625,2.719
0.955,3.12,1.048,-0.004,1.45,-0.011,2.702,2.742
0.991,3.075,1.096,-0.006,1.45,-0.01,2.769,2.779
1.034,3.02,1.187,-0.008,1.45,-0.011,2.824,2.822
1.118,2.943,1.318,-0.006,1.474,-0.013,2.876,2.877
1.196,2.884,1.457,-0.008,1.514,-0.01,2.915,2.939
1.242,2.862,1.569,-0.004,1.524,-0.011,2.946,3.013
1.266,2.877,1.648,-0.004,1.493,-0.013,2.974,3.073
1.271,2.931,1.718,-0.003,1.438,-0.015,3.005,3.108
1.254,3.013,1.823,-0.004,1.39,-0.01,3.039,3.122
1.227,3.087,1.964,-0.006,1.356,-0.011,3.084,3.154
1.206,3.111,2.164,-0.004,1.316,-0.013,3.127,3.192
1.191,3.099,2.382,-0.003,1.294,-0.011,3.164,3.24
1.191,3.089,2.597,-0.003,1.292,-0.013,3.197,3.276
1.237,3.066,2.752,-0.004,1.301,-0.015,3.23,3.328
1.302,3.041,2.855,-0.004,1.311,-0.011,3.257,3.383
1.35,3.018,2.917,-0.003,1.301,-0.011,3.278,3.453
1.418,2.991,2.939,-0.008,1.295,-0.011,3.285,3.548
1.498,2.963,2.936,-0.006,1.321,-0.008,3.293,3.658
1.572,2.939,2.963,-0.006,1.35,-0.015,3.309,3.785
1.632,2.931,3.051,-0.008,1.34,-0.013,3.357,3.912
1.67,2.951,3.17,-0.006,1.311,-0.016,3.431,4.024
1.724,2.972,3.318,-0.004,1.29,-0.015,3.517,4.105
1.786,2.963,3.459,-0.006,1.266,-0.011,3.605,4.162
1.854,2.958,3.606,-0.0009672,1.239,-0.008,3.677,4.21
1.904,2.946,3.747,0.0007522,1.228,-0.008,3.744,4.234
1.949,2.925,3.881,0.013,1.246,-0.01,3.813,4.237
1.878,2.896,3.995,0.04,1.299,-0.011,3.875,4.225
1.751,2.84,4.077,0.104,1.352,-0.011,3.928,4.213
1.667,2.771,4.133,0.226,1.387,-0.011,3.978,4.22
1.614,2.717,4.21,0.389,1.404,-0.013,4.012,4.246
1.6,2.711,4.323,0.554,1.397,-0.01,4.028,4.275
1.617,2.738,4.433,0.726,1.352,-0.008,4.016,4.294
1.662,2.778,4.504,0.897,1.28,-0.01,3.985,4.301
1.71,2.805,4.537,1.055,1.225,-0.011,3.95,4.316
1.739,2.809,4.549,1.21,1.197,-0.01,3.919,4.349
1.736,2.783,4.564,1.335,1.213,-0.011,3.907,4.385
1.706,2.743,4.566,1.45,1.251,-0.011,3.904,4.418
1.663,2.699,4.547,1.555,1.304,-0.013,3.909,4.457
1.62,2.661,4.555,1.646,1.357,-0.011,3.911,4.523
1.603,2.65,4.621,1.722,1.399,-0.01,3.918,4.588
1.615,2.664,4.734,1.811,1.418,-0.008,3.937,4.648
1.631,2.674,4.808,1.908,1.411,-0.01,3.945,4.7
1.572,2.668,4.801,2.004,1.376,-0.008,3.937,4.729
1.516,2.654,4.738,2.102,1.32,-0.008,3.921,4.743
1.5,2.613,4.679,2.221,1.251,-0.011,3.923,4.733
1.474,2.542,4.655,2.337,1.208,-0.013,3.942,4.715
1.44,2.47,4.66,2.456,1.21,-0.008,3.973,4.724
1.364,2.442,4.695,2.59,1.227,-0.011,3.995,4.76
1.282,2.449,4.767,2.729,1.254,-0.011,3.997,4.808
1.228,2.484,4.863,2.889,1.29,-0.01,3.981,4.868
1.22,2.527,4.905,3.063,1.318,-0.01,3.952,4.934
1.227,2.564,4.839,3.226,1.326,-0.011,3.933,4.994
1.223,2.588,4.703,3.412,1.316,-0.008,3.914,5.049
1.237,2.588,4.585,3.613,1.29,-0.011,3.894,5.094
1.277,2.566,4.511,3.813,1.277,-0.01,3.876,5.138
1.297,2.532,4.442,4.035,1.277,-0.01,3.864,5.214
1.273,2.516,4.382,4.267,1.283,-0.011,3.849,5.307
1.254,2.509,4.322,4.497,1.295,-0.01,3.835,5.391
1.275,2.518,4.243,4.71,1.297,-0.011,3.816,5.451
1.302,2.523,4.165,4.905,1.294,-0.01,3.789,5.491
1.292,2.521,4.084,5.059,1.282,-0.008,3.758,5.508
1.256,2.528,4.026,5.187,1.259,-0.008,3.749,5.503
1.259,2.532,4.048,5.312,1.247,-0.006,3.756,5.467
1.271,2.537,4.127,5.438,1.24,-0.01,3.763,5.427
1.29,2.539,4.212,5.561,1.24,-0.01,3.744,5.383
1.323,2.527,4.249,5.687,1.244,-0.008,3.715,5.35
1.356,2.508,4.218,5.79,1.258,-0.006,3.679,5.303
1.371,2.484,4.138,5.878,1.28,-0.003,3.656,5.247
1.363,2.477,4.041,5.974,1.313,-0.004,3.655,5.192
1.373,2.501,3.962,6.069,1.347,-0.003,3.663,5.152
1.369,2.545,3.921,6.134,1.378,-0.0009672,3.67,5.135
