Time (s),T (N · m),Force (N),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
0,4.91E-04,0.02,-0.002,,,-3.75E-05,,
0.02,3.60E-04,0.014,-0.005,-0.118,,-1.13E-04,-0.003,
0.04,4.48E-04,0.018,-0.006,-0.079,0.982,-1.50E-04,-0.002,0.023
0.06,4.04E-04,0.016,-0.008,-0.079,3.47E-16,-1.88E-04,-0.002,0
0.08,3.60E-04,0.014,-0.009,-0.079,0.982,-2.25E-04,-0.002,0.023
0.1,4.04E-04,0.016,-0.011,-0.039,2.945,-2.63E-04,-9.38E-04,0.07
0.12,3.60E-04,0.014,-0.011,0.039,2.945,-2.63E-04,9.38E-04,0.07
0.14,4.04E-04,0.016,-0.009,0.079,1.963,-2.25E-04,0.002,0.047
0.16,4.04E-04,0.016,-0.008,0.118,-6.94E-16,-1.88E-04,0.003,-5.42E-18
0.18,3.60E-04,0.014,-0.005,0.079,-2.945,-1.13E-04,0.002,-0.07
0.2,4.04E-04,0.016,-0.005,0,-2.945,-1.13E-04,0,-0.07
0.22,4.04E-04,0.016,-0.005,-0.039,-1.963,-1.13E-04,-9.38E-04,-0.047
0.24,4.04E-04,0.016,-0.006,-0.079,1.39E-15,-1.50E-04,-0.002,4.07E-17
0.26,4.48E-04,0.018,-0.008,-0.039,1.963,-1.88E-04,-9.38E-04,0.047
0.28,4.04E-04,0.016,-0.008,0,0.982,-1.88E-04,0,0.023
0.3,4.48E-04,0.018,-0.008,0,0,-1.88E-04,0,0
0.32,4.04E-04,0.016,-0.008,0,-0.982,-1.88E-04,0,-0.023
0.34,3.60E-04,0.014,-0.008,-0.039,-2.945,-1.88E-04,-9.38E-04,-0.07
0.36,3.60E-04,0.014,-0.009,-0.118,-6.872,-2.25E-04,-0.003,-0.164
0.38,3.17E-04,0.013,-0.013,-0.314,-16.69,-3.00E-04,-0.007,-0.398
0.4,4.04E-04,0.016,-0.022,-0.785,-25.525,-5.25E-04,-0.019,-0.609
