Time (s),T (N · m),Force (N),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
0,-0.00187,-0.075,0,,,0,,
0.02,-0.002,-0.08,0,0,,0,0,
0.04,-0.00204,-0.082,0,-0.039,-0.982,0,-9.38E-04,-0.023
0.06,-0.00204,-0.082,-0.002,-0.039,0.982,-3.75E-05,-9.38E-04,0.023
0.08,-0.002,-0.08,-0.002,0,0.982,-3.75E-05,0,0.023
0.1,-0.00196,-0.078,-0.002,0,0,-3.75E-05,0,0
0.12,-0.002,-0.08,-0.002,0,0,-3.75E-05,0,0
0.14,-0.00204,-0.082,-0.002,0,0,-3.75E-05,0,0
0.16,-0.002,-0.08,-0.002,0,0,-3.75E-05,0,0
0.18,-0.002,-0.08,-0.002,0,0,-3.75E-05,0,0
0.2,-0.00204,-0.082,-0.002,0,0,-3.75E-05,0,0
0.22,-0.002,-0.08,-0.002,0,0,-3.75E-05,0,0
0.24,-0.00196,-0.078,-0.002,0,0,-3.75E-05,0,0
0.26,-0.00204,-0.082,-0.002,0,-0.982,-3.75E-05,0,-0.023
0.28,-0.00196,-0.078,-0.002,-0.039,-0.982,-3.75E-05,-9.38E-04,-0.023
0.3,-0.002,-0.08,-0.003,-0.039,0.982,-7.50E-05,-9.38E-04,0.023
0.32,-0.002,-0.08,-0.003,0,0.982,-7.50E-05,0,0.023
0.34,-0.00191,-0.076,-0.003,0,0,-7.50E-05,0,0
0.36,-0.00204,-0.082,-0.003,0,0,-7.50E-05,0,0
0.38,-0.002,-0.08,-0.003,0,0,-7.50E-05,0,0
0.4,-0.00196,-0.078,-0.003,0,0,-7.50E-05,0,0
0.42,-0.00204,-0.082,-0.003,0,0,-7.50E-05,0,0
0.44,-0.00196,-0.078,-0.003,0,0.982,-7.50E-05,0,0.023
0.46,-0.00187,-0.075,-0.003,0.039,0.982,-7.50E-05,9.38E-04,0.023
0.48,-0.002,-0.08,-0.002,0.039,1.39E-15,-3.75E-05,9.38E-04,3.25E-17
0.5,-0.00191,-0.076,-0.002,0.039,-0.982,-3.75E-05,9.38E-04,-0.023
0.52,-0.00191,-0.076,0,0,-1.963,0,0,-0.047
0.54,-0.00196,-0.078,-0.002,-0.039,-0.982,-3.75E-05,-9.38E-04,-0.023
0.56,-0.00196,-0.078,-0.002,-0.039,-2.945,-3.75E-05,-9.38E-04,-0.07
0.58,-0.00196,-0.078,-0.003,-0.157,-29.452,-7.50E-05,-0.004,-0.703
0.6,-0.00196,-0.078,-0.008,-1.217,-81.485,-1.88E-04,-0.029,-1.945
0.62,-0.00204,-0.082,-0.052,-3.416,-113.883,-0.0012,-0.082,-2.719
0.64,-0.00196,-0.078,-0.145,-5.773,-113.883,-0.0035,-0.138,-2.719
0.66,-0.00204,-0.082,-0.283,-7.972,-104.065,-0.0067,-0.19,-2.484
0.68,-0.00191,-0.076,-0.463,-9.935,-91.303,-0.0111,-0.237,-2.18
0.7,-0.002,-0.08,-0.68,-11.624,-75.595,-0.0162,-0.278,-1.805
0.72,-0.002,-0.08,-0.928,-12.959,-57.923,-0.0222,-0.309,-1.383
0.74,-0.002,-0.08,-1.199,-13.941,-39.27,-0.0286,-0.333,-0.937
0.76,-0.002,-0.08,-1.486,-14.53,-18.653,-0.0355,-0.347,-0.445
0.78,-0.00196,-0.078,-1.78,-14.687,1.963,-0.0425,-0.351,0.047
0.8,-0.002,-0.08,-2.073,-14.451,52.033,-0.0495,-0.345,1.242
0.82,-0.002,-0.08,-2.358,-12.606,67.741,-0.0563,-0.301,1.617
0.84,-0.00196,-0.078,-2.578,-11.742,20.617,-0.0615,-0.28,0.492
0.86,-0.002,-0.08,-2.827,-11.781,38.288,-0.0675,-0.281,0.914
0.88,-0.002,-0.08,-3.049,-10.21,86.394,-0.0728,-0.244,2.062
0.9,-0.00204,-0.082,-3.236,-8.325,99.157,-0.0772,-0.199,2.367
0.92,-0.00196,-0.078,-3.382,-6.244,107.011,-0.0807,-0.149,2.555
0.94,-0.002,-0.08,-3.486,-4.045,113.883,-0.0832,-0.097,2.719
0.96,-0.00204,-0.082,-3.544,-1.689,118.792,-0.0846,-0.04,2.836
0.98,-0.002,-0.08,-3.553,0.707,118.792,-0.0848,0.017,2.836
1,-0.00196,-0.078,-3.515,3.063,115.846,-0.0839,0.073,2.766
1.02,-0.00196,-0.078,-3.431,5.341,109.956,-0.0819,0.127,2.625
1.04,-0.002,-0.08,-3.302,7.461,101.12,-0.0788,0.178,2.414
1.06,-0.00196,-0.078,-3.132,9.386,89.339,-0.0748,0.224,2.133
1.08,-0.00191,-0.076,-2.926,11.035,75.595,-0.0699,0.263,1.805
1.1,-0.00196,-0.078,-2.691,12.409,58.905,-0.0642,0.296,1.406
1.12,-0.00196,-0.078,-2.43,13.391,39.27,-0.058,0.32,0.938
1.14,-0.00196,-0.078,-2.155,13.98,20.617,-0.0515,0.334,0.492
1.16,-0.00196,-0.078,-1.871,14.216,1.963,-0.0447,0.339,0.047
