Time (s),T (N · m),Force (N),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
0,-1.64E-04,-0.007,0,,,0,,
0.02,-2.08E-04,-0.008,0.002,0.079,,3.75E-05,0.002,
0.04,-1.20E-04,-0.005,0.003,0.039,-1.963,7.50E-05,9.38E-04,-0.047
0.06,-1.64E-04,-0.007,0.003,0,-0.982,7.50E-05,0,-0.023
0.08,-2.51E-04,-0.01,0.003,0,-0.982,7.50E-05,0,-0.023
0.1,-3.39E-04,-0.014,0.003,-0.039,-0.982,7.50E-05,-9.38E-04,-0.023
0.12,-2.51E-04,-0.01,0.002,-0.039,0.982,3.75E-05,-9.38E-04,0.023
0.14,-1.64E-04,-0.007,0.002,0,1.963,3.75E-05,0,0.047
0.16,-2.51E-04,-0.01,0.002,0.039,0.982,3.75E-05,9.38E-04,0.023
0.18,-1.20E-04,-0.005,0.003,0.039,-0.982,7.50E-05,9.38E-04,-0.023
0.2,-1.64E-04,-0.007,0.003,0,6.94E-16,7.50E-05,0,1.90E-17
0.22,-7.65E-05,-0.003,0.003,0.039,0.982,7.50E-05,9.38E-04,0.023
0.24,5.46E-05,0.002,0.005,0.039,-0.982,1.13E-04,9.38E-04,-0.023
0.26,-7.65E-05,-0.003,0.005,0,8.67E-16,1.13E-04,0,8.13E-18
0.28,-1.64E-04,-0.007,0.005,0.039,0.982,1.13E-04,9.38E-04,0.023
0.3,-1.64E-04,-0.007,0.006,0.039,-1.91E-15,1.50E-04,9.38E-04,-3.25E-17
0.32,-2.51E-04,-0.01,0.006,0.039,-5.20E-16,1.50E-04,9.38E-04,0
0.34,-2.08E-04,-0.008,0.008,0.039,1.91E-15,1.88E-04,9.38E-04,3.25E-17
0.36,-2.95E-04,-0.012,0.008,0.039,-8.67E-16,1.88E-04,9.38E-04,-3.25E-17
0.38,-3.82E-04,-0.015,0.009,0.039,-1.963,2.25E-04,9.38E-04,-0.047
0.4,-3.82E-04,-0.015,0.009,-0.039,-1.963,2.25E-04,-9.38E-04,-0.047
0.42,-4.26E-04,-0.017,0.008,-0.039,0.982,1.88E-04,-9.38E-04,0.023
0.44,-5.13E-04,-0.021,0.008,0,0.982,1.88E-04,0,0.023
0.46,-4.70E-04,-0.019,0.008,0,0,1.88E-04,0,0
0.48,-5.57E-04,-0.022,0.008,0,0,1.88E-04,0,0
0.5,-6.01E-04,-0.024,0.008,0,-0.982,1.88E-04,0,-0.023
0.52,-6.01E-04,-0.024,0.008,-0.039,-2.945,1.88E-04,-9.38E-04,-0.07
0.54,-6.44E-04,-0.026,0.006,-0.118,-7.854,1.50E-04,-0.003,-0.188
0.56,-6.01E-04,-0.024,0.003,-0.353,-13.744,7.50E-05,-0.008,-0.328
0.58,-5.57E-04,-0.022,-0.008,-0.668,-13.744,-1.88E-04,-0.016,-0.328
0.6,-2.08E-04,-0.008,-0.024,-0.903,-12.763,-5.63E-04,-0.022,-0.305
0.62,-0.00169,-0.068,-0.044,-1.178,-13.744,-0.0011,-0.028,-0.328
0.64,-7.75E-04,-0.031,-0.071,-1.453,-11.781,-0.0017,-0.035,-0.281
0.66,-3.82E-04,-0.015,-0.102,-1.649,-10.799,-0.0024,-0.039,-0.258
0.68,-0.00143,-0.057,-0.137,-1.885,-13.744,-0.0033,-0.045,-0.328
0.7,-0.00209,-0.083,-0.178,-2.199,-12.763,-0.0042,-0.053,-0.305
0.72,-0.00139,-0.055,-0.225,-2.395,-9.817,-0.0054,-0.057,-0.234
0.74,-0.0013,-0.052,-0.273,-2.592,-10.799,-0.0065,-0.062,-0.258
0.76,-0.00191,-0.076,-0.328,-2.827,-10.799,-0.0078,-0.067,-0.258
0.78,-0.00244,-0.097,-0.386,-3.024,-9.817,-0.0092,-0.072,-0.234
0.8,-0.00248,-0.099,-0.449,-3.22,-8.836,-0.0107,-0.077,-0.211
0.82,-0.00244,-0.097,-0.515,-3.377,-7.854,-0.0123,-0.081,-0.188
0.84,-0.0027,-0.108,-0.584,-3.534,-7.854,-0.014,-0.084,-0.187
0.86,-0.00296,-0.118,-0.657,-3.691,-7.854,-0.0157,-0.088,-0.187
0.88,-0.00309,-0.124,-0.732,-3.848,-6.872,-0.0175,-0.092,-0.164
0.9,-0.00327,-0.131,-0.811,-3.966,-4.909,-0.0193,-0.095,-0.117
0.92,-0.00335,-0.134,-0.891,-4.045,-4.909,-0.0213,-0.097,-0.117
0.94,-0.00366,-0.146,-0.972,-4.163,-4.909,-0.0232,-0.099,-0.117
0.96,-0.00265,-0.106,-1.057,-4.241,-2.945,-0.0252,-0.101,-0.07
0.98,-0.00261,-0.104,-1.142,-4.28,-2.945,-0.0273,-0.102,-0.07
1,-0.00196,-0.078,-1.228,-4.359,-2.945,-0.0293,-0.104,-0.07
1.02,-0.00152,-0.061,-1.316,-4.398,-0.982,-0.0314,-0.105,-0.023
1.04,-0.00126,-0.05,-1.404,-4.398,0,-0.0335,-0.105,0
1.06,-9.07E-04,-0.036,-1.492,-4.398,0,-0.0356,-0.105,0
1.08,-8.19E-04,-0.033,-1.58,-4.398,0.982,-0.0377,-0.105,0.023
1.1,-9.50E-04,-0.038,-1.668,-4.359,1.963,-0.0398,-0.104,0.047
1.12,-6.01E-04,-0.024,-1.755,-4.32,1.963,-0.0419,-0.103,0.047
1.14,-6.88E-04,-0.028,-1.841,-4.28,1.963,-0.0439,-0.102,0.047
1.16,-9.50E-04,-0.038,-1.926,-4.241,2.945,-0.046,-0.101,0.07
1.18,-6.01E-04,-0.024,-2.011,-4.163,5.89,-0.048,-0.099,0.141
1.2,-7.32E-04,-0.029,-2.092,-4.006,6.872,-0.0499,-0.096,0.164
1.22,-3.39E-04,-0.014,-2.171,-3.888,4.909,-0.0518,-0.093,0.117
1.24,-2.51E-04,-0.01,-2.248,-3.809,5.89,-0.0537,-0.091,0.141
1.26,-2.51E-04,-0.01,-2.323,-3.652,8.836,-0.0555,-0.087,0.211
1.28,-7.65E-05,-0.003,-2.394,-3.456,9.817,-0.0571,-0.083,0.234
1.3,3.60E-04,0.014,-2.461,-3.259,9.817,-0.0588,-0.078,0.234
1.32,7.54E-04,0.03,-2.524,-3.063,9.817,-0.0603,-0.073,0.234
1.34,4.04E-04,0.016,-2.584,-2.867,10.799,-0.0617,-0.068,0.258
1.36,4.91E-04,0.02,-2.639,-2.631,11.781,-0.063,-0.063,0.281
1.38,-3.28E-05,-0.001,-2.689,-2.395,11.781,-0.0642,-0.057,0.281
1.4,7.54E-04,0.03,-2.735,-2.16,11.781,-0.0653,-0.052,0.281
1.42,3.60E-04,0.014,-2.776,-1.924,12.763,-0.0663,-0.046,0.305
1.44,5.79E-04,0.023,-2.812,-1.649,14.726,-0.0671,-0.039,0.352
1.46,-2.51E-04,-0.01,-2.842,-1.335,14.726,-0.0678,-0.032,0.352
1.48,3.17E-04,0.013,-2.865,-1.06,13.744,-0.0684,-0.025,0.328
1.5,-1.64E-04,-0.007,-2.884,-0.785,13.744,-0.0689,-0.019,0.328
