Time (s),T (N · m),Force (N),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
0,3.60E-04,0.014,0,,,0,,
0.02,3.17E-04,0.013,0,0.039,,0,9.38E-04,
0.04,3.17E-04,0.013,0.002,0.039,-0.982,3.75E-05,9.38E-04,-0.023
0.06,2.73E-04,0.011,0.002,0,-3.47E-16,3.75E-05,0,-8.13E-18
0.08,2.73E-04,0.011,0.002,0.039,0.982,3.75E-05,9.38E-04,0.023
0.1,2.73E-04,0.011,0.003,0.039,-0.982,7.50E-05,9.38E-04,-0.023
0.12,3.60E-04,0.014,0.003,0,-0.982,7.50E-05,0,-0.023
0.14,3.17E-04,0.013,0.003,0,0,7.50E-05,0,0
0.16,2.73E-04,0.011,0.003,0,0,7.50E-05,0,0
0.18,2.73E-04,0.011,0.003,0,0.982,7.50E-05,0,0.023
0.2,2.29E-04,0.009,0.003,0.039,0.982,7.50E-05,9.38E-04,0.023
0.22,3.17E-04,0.013,0.005,0.039,-0.982,1.13E-04,9.38E-04,-0.023
0.24,3.17E-04,0.013,0.005,0,-0.982,1.13E-04,0,-0.023
0.26,2.29E-04,0.009,0.005,0,0.982,1.13E-04,0,0.023
0.28,2.73E-04,0.011,0.005,0.039,1.963,1.13E-04,9.38E-04,0.047
0.3,3.60E-04,0.014,0.006,0.079,0.982,1.50E-04,0.002,0.023
0.32,3.17E-04,0.013,0.008,0.079,-0.982,1.88E-04,0.002,-0.023
0.34,2.29E-04,0.009,0.009,0.039,-0.982,2.25E-04,9.38E-04,-0.023
0.36,2.73E-04,0.011,0.009,0.039,-1.39E-15,2.25E-04,9.38E-04,-1.36E-17
0.38,2.73E-04,0.011,0.011,0.039,0.982,2.63E-04,9.38E-04,0.023
0.4,3.17E-04,0.013,0.011,0.079,1.963,2.63E-04,0.002,0.047
0.42,2.73E-04,0.011,0.014,0.118,-4.86E-15,3.38E-04,0.003,-6.51E-17
