Time (s),T (N · m),Force (N),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
0,0.00123,0.049,0,,,0,,
0.02,0.00128,0.051,-0.002,-0.079,,-3.75E-05,-0.002,
0.04,0.00145,0.058,-0.003,-0.039,1.963,-7.50E-05,-9.38E-04,0.047
0.06,0.00137,0.055,-0.003,0,0.982,-7.50E-05,0,0.023
0.08,0.00128,0.051,-0.003,0,0,-7.50E-05,0,0
0.1,7.97E-04,0.032,-0.003,0,0,-7.50E-05,0,0
0.12,7.10E-04,0.028,-0.003,0,0.982,-7.50E-05,0,0.023
0.14,9.72E-04,0.039,-0.003,0.039,0.982,-7.50E-05,9.38E-04,0.023
0.16,7.97E-04,0.032,-0.002,0.039,-0.982,-3.75E-05,9.38E-04,-0.023
0.18,6.23E-04,0.025,-0.002,0,-0.982,-3.75E-05,0,-0.023
0.2,4.91E-04,0.02,-0.002,0,0,-3.75E-05,0,0
0.22,5.79E-04,0.023,-0.002,0,-0.982,-3.75E-05,0,-0.023
0.24,6.66E-04,0.027,-0.002,-0.039,-0.982,-3.75E-05,-9.38E-04,-0.023
0.26,8.85E-04,0.035,-0.003,-0.039,0.982,-7.50E-05,-9.38E-04,0.023
0.28,0.00132,0.053,-0.003,0,1.963,-7.50E-05,0,0.047
0.3,0.00167,0.067,-0.003,0.039,1.963,-7.50E-05,9.38E-04,0.047
0.32,0.00145,0.058,-0.002,0.079,0,-3.75E-05,0.002,0
0.34,9.72E-04,0.039,0,0.039,-0.982,0,9.38E-04,-0.023
0.36,9.28E-04,0.037,0,0.039,1.963,0,9.38E-04,0.047
0.38,0.00158,0.063,0.002,0.118,2.945,3.75E-05,0.003,0.07
0.4,0.00215,0.086,0.005,0.157,1.963,1.13E-04,0.004,0.047
0.42,0.00272,0.109,0.008,0.196,2.945,1.88E-04,0.005,0.07
0.44,0.00268,0.107,0.013,0.275,4.909,3.00E-04,0.007,0.117
0.46,0.00263,0.105,0.019,0.393,4.909,4.50E-04,0.009,0.117
0.48,0.00272,0.109,0.028,0.471,2.945,6.75E-04,0.011,0.07
0.5,0.00281,0.112,0.038,0.511,2.945,9.00E-04,0.012,0.07
0.52,0.00307,0.123,0.049,0.589,3.927,0.0012,0.014,0.094
0.54,0.00403,0.161,0.061,0.668,4.909,0.0015,0.016,0.117
0.56,0.00508,0.203,0.075,0.785,6.872,0.0018,0.019,0.164
0.58,0.00512,0.205,0.093,0.942,6.872,0.0022,0.023,0.164
0.6,0.00495,0.198,0.113,1.06,4.909,0.0027,0.025,0.117
0.62,0.00517,0.207,0.135,1.139,4.909,0.0032,0.027,0.117
0.64,0.00538,0.215,0.159,1.257,5.89,0.0038,0.03,0.141
0.66,0.00587,0.235,0.185,1.374,5.89,0.0044,0.033,0.141
0.68,0.00648,0.259,0.214,1.492,5.89,0.0051,0.036,0.141
0.7,0.00674,0.27,0.245,1.61,4.909,0.0058,0.038,0.117
0.72,0.00656,0.263,0.278,1.689,4.909,0.0066,0.04,0.117
0.74,0.00621,0.249,0.313,1.806,4.909,0.0075,0.043,0.117
0.76,0.00613,0.245,0.35,1.885,1.963,0.0084,0.045,0.047
0.78,0.00678,0.271,0.388,1.885,1.963,0.0093,0.045,0.047
0.8,0.00731,0.292,0.426,1.963,4.909,0.0102,0.047,0.117
0.82,0.00792,0.317,0.467,2.081,4.909,0.0111,0.05,0.117
0.84,0.00822,0.329,0.509,2.16,2.945,0.0121,0.052,0.07
0.86,0.00849,0.339,0.553,2.199,2.945,0.0132,0.052,0.07
0.88,0.00905,0.362,0.597,2.278,4.909,0.0142,0.054,0.117
0.9,0.01015,0.406,0.644,2.395,4.909,0.0154,0.057,0.117
0.92,0.01133,0.453,0.693,2.474,3.927,0.0165,0.059,0.094
0.94,0.01185,0.474,0.743,2.553,3.927,0.0177,0.061,0.094
0.96,0.01202,0.481,0.795,2.631,4.909,0.019,0.063,0.117
0.98,0.01255,0.502,0.848,2.749,5.89,0.0202,0.066,0.141
1,0.01369,0.547,0.905,2.867,5.89,0.0216,0.068,0.141
1.02,0.01513,0.605,0.963,2.985,5.89,0.023,0.071,0.141
1.04,0.01583,0.633,1.024,3.102,4.909,0.0244,0.074,0.117
1.06,0.01548,0.619,1.087,3.181,3.927,0.026,0.076,0.094
1.08,0.01548,0.619,1.151,3.259,3.927,0.0275,0.078,0.094
1.1,0.01578,0.631,1.217,3.338,3.927,0.0291,0.08,0.094
1.12,0.01652,0.661,1.285,3.416,2.945,0.0307,0.082,0.07
1.14,0.01701,0.68,1.354,3.456,1.963,0.0323,0.083,0.047
1.16,0.01722,0.689,1.423,3.495,1.963,0.034,0.083,0.047
1.18,0.01718,0.687,1.494,3.534,0.982,0.0357,0.084,0.023
1.2,0.01696,0.678,1.565,3.534,-0.982,0.0374,0.084,-0.023
1.22,0.01744,0.698,1.635,3.495,-1.963,0.039,0.083,-0.047
1.24,0.01827,0.731,1.704,3.456,-0.982,0.0407,0.082,-0.023
1.26,0.01875,0.75,1.773,3.456,0,0.0423,0.082,0
1.28,0.01958,0.783,1.843,3.456,-0.982,0.044,0.082,-0.023
1.3,0.02041,0.817,1.912,3.416,-1.963,0.0456,0.082,-0.047
1.32,0.02094,0.837,1.979,3.377,-0.982,0.0473,0.081,-0.023
1.34,0.02041,0.817,2.047,3.377,-0.982,0.0489,0.081,-0.023
1.36,0.02251,0.9,2.114,3.338,-1.963,0.0505,0.08,-0.047
1.38,0.0236,0.944,2.18,3.299,-0.982,0.0521,0.079,-0.023
1.4,0.02456,0.983,2.246,3.299,0.982,0.0536,0.079,0.023
1.42,0.02605,1.042,2.312,3.338,0.982,0.0552,0.08,0.023
1.44,0.02727,1.091,2.38,3.338,-4.66E-13,0.0568,0.08,-1.11E-14
1.46,0.02758,1.103,2.446,3.338,0.982,0.0584,0.08,0.023
1.48,0.02832,1.133,2.513,3.377,1.963,0.06,0.081,0.047
1.5,0.02985,1.194,2.581,3.416,2.945,0.0616,0.082,0.07
