Time (s),T (N · m),Force (N),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
0,0.00303,0.121,0,,,0,,
0.02,0.00228,0.091,0,0,,0,0,
0.04,0.0015,0.06,0,0,0,0,0,0
0.06,0.0018,0.072,0,0,0,0,0,0
0.08,0.00119,0.048,0,0,0,0,0,0
0.1,1.86E-04,0.007,0,0,0,0,0,0
0.12,-2.08E-04,-0.008,0,0,0,0,0,0
0.14,-3.39E-04,-0.014,0,0,0,0,0,0
0.16,1.86E-04,0.007,0,0,0.982,0,0,0.023
0.18,0.00137,0.055,0,0.039,0.982,0,9.38E-04,0.023
0.2,0.00285,0.114,0.002,0.039,-6.94E-16,3.75E-05,9.38E-04,-1.63E-17
0.22,0.00377,0.151,0.002,0.039,0,3.75E-05,9.38E-04,0
0.24,0.00486,0.194,0.003,0.039,0.982,7.50E-05,9.38E-04,0.023
0.26,0.00538,0.215,0.003,0.079,1.963,7.50E-05,0.002,0.047
0.28,0.00687,0.275,0.006,0.118,0.982,1.50E-04,0.003,0.023
0.3,0.00945,0.378,0.008,0.118,1.963,1.88E-04,0.003,0.047
0.32,0.01172,0.469,0.011,0.196,2.945,2.63E-04,0.005,0.07
0.34,0.01224,0.49,0.016,0.236,1.963,3.75E-04,0.006,0.047
0.36,0.01207,0.483,0.02,0.275,1.963,4.88E-04,0.007,0.047
0.38,0.01242,0.497,0.027,0.314,1.963,6.38E-04,0.007,0.047
0.4,0.01163,0.465,0.033,0.353,1.963,7.88E-04,0.008,0.047
0.42,0.01425,0.57,0.041,0.393,1.963,9.75E-04,0.009,0.047
0.44,0.01548,0.619,0.049,0.432,2.945,0.0012,0.01,0.07
0.46,0.01744,0.698,0.058,0.511,2.945,0.0014,0.012,0.07
0.48,0.01784,0.713,0.069,0.55,1.963,0.0017,0.013,0.047
0.5,0.01797,0.719,0.08,0.589,1.963,0.0019,0.014,0.047
0.52,0.01731,0.692,0.093,0.628,2.945,0.0022,0.015,0.07
0.54,0.01714,0.685,0.105,0.707,2.945,0.0025,0.017,0.07
0.56,0.01731,0.692,0.121,0.746,1.963,0.0029,0.018,0.047
0.58,0.01744,0.698,0.135,0.785,2.945,0.0032,0.019,0.07
0.6,0.01823,0.729,0.152,0.864,1.963,0.0036,0.021,0.047
0.62,0.01932,0.773,0.17,0.864,0.982,0.004,0.021,0.023
0.64,0.01814,0.726,0.187,0.903,1.963,0.0045,0.022,0.047
0.66,0.01845,0.738,0.206,0.942,1.963,0.0049,0.022,0.047
0.68,0.01915,0.766,0.225,0.982,1.963,0.0054,0.023,0.047
0.7,0.01775,0.71,0.245,1.021,1.963,0.0058,0.024,0.047
0.72,0.02146,0.858,0.265,1.06,1.963,0.0063,0.025,0.047
0.74,0.02203,0.881,0.287,1.1,0.982,0.0069,0.026,0.023
0.76,0.02133,0.853,0.309,1.1,-7.22E-14,0.0074,0.026,-2.95E-15
0.78,0.02107,0.843,0.331,1.1,0.982,0.0079,0.026,0.023
0.8,0.02107,0.843,0.353,1.139,1.963,0.0084,0.027,0.047
0.82,0.02098,0.839,0.377,1.178,0.982,0.009,0.028,0.023
0.84,0.0212,0.848,0.401,1.178,-8.33E-14,0.0096,0.028,-1.91E-15
0.86,0.02177,0.871,0.424,1.178,-8.33E-14,0.0101,0.028,-1.91E-15
0.88,0.02177,0.871,0.448,1.178,0,0.0107,0.028,0
0.9,0.02159,0.864,0.471,1.178,3.89E-14,0.0113,0.028,0
0.92,0.02094,0.837,0.495,1.178,1.17E-13,0.0118,0.028,1.91E-15
0.94,0.01958,0.783,0.518,1.178,4.44E-14,0.0124,0.028,1.91E-15
0.96,0.01814,0.726,0.542,1.178,-0.982,0.0129,0.028,-0.023
0.98,0.01836,0.734,0.565,1.139,-2.945,0.0135,0.027,-0.07
1,0.01993,0.797,0.587,1.06,-1.963,0.014,0.025,-0.047
1.02,0.01998,0.799,0.608,1.06,0,0.0145,0.025,0
1.04,0.01976,0.79,0.63,1.06,-5.89,0.015,0.025,-0.141
1.06,0.01858,0.743,0.65,0.825,-11.781,0.0155,0.02,-0.281
1.08,0.03225,1.29,0.663,0.589,-7.854,0.0158,0.014,-0.188
1.1,0.02137,0.855,0.674,0.511,-1.963,0.0161,0.012,-0.047
1.12,0.02386,0.955,0.683,0.511,-0.982,0.0163,0.012,-0.023
1.14,0.02937,1.175,0.694,0.471,-0.982,0.0166,0.011,-0.023
1.16,0.03212,1.285,0.702,0.471,0.982,0.0168,0.011,0.023
1.18,0.03238,1.295,0.713,0.511,-6.66E-14,0.017,0.012,-1.56E-15
