Time (s),T (N · m),Force (N),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
0,-2.51E-04,-0.01,0,,,0,,
0.02,-2.51E-04,-0.01,0,0,,0.00E+00,0,
0.04,-2.51E-04,-0.01,0,0,0,0.00E+00,0.00E+00,0
0.06,-2.95E-04,-0.012,0,0,0,0.00E+00,0,0
0.08,-2.51E-04,-0.01,0,0,0,0.00E+00,0,0
0.1,-2.95E-04,-0.012,0,0,0,0.00E+00,0.00E+00,0
0.12,-2.95E-04,-0.012,0,0,0,0.00E+00,0.00E+00,0
0.14,-2.51E-04,-0.01,0,0,0,0.00E+00,0.00E+00,0
0.16,-2.51E-04,-0.01,0,0,0,0.00E+00,0,0.00E+00
0.18,-2.51E-04,-0.01,0,0,0,0.00E+00,0.00E+00,0
0.2,-2.08E-04,-0.008,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.22,-2.08E-04,-0.008,0,0,0,0.00E+00,0.00E+00,0
0.24,-2.51E-04,-0.01,0,0,0,0.00E+00,0,0
0.26,-2.08E-04,-0.008,0,0,0,0.00E+00,0,0
0.28,-2.08E-04,-0.008,0,0,0,0.00E+00,0,0
0.3,-2.08E-04,-0.008,0,0,0,0.00E+00,0,0
0.32,-2.51E-04,-0.01,0,0,0,0.00E+00,0,0
0.34,-2.95E-04,-0.012,0,0,0,0.00E+00,0,0
0.36,-3.39E-04,-0.014,0,0,0,0.00E+00,0,0
0.38,-2.08E-04,-0.008,0,0,0,0.00E+00,0,0
0.4,-3.39E-04,-0.014,0,0,0.00E+00,0.00E+00,0,0.00E+00
0.42,-2.51E-04,-0.01,0,0,0,0.00E+00,0,0
0.44,-2.08E-04,-0.008,0,0,0,0.00E+00,0,0
0.46,-2.51E-04,-0.01,0,0,0,0.00E+00,0,0
0.48,-2.51E-04,-0.01,0,0,0.982,0.00E+00,0,0.023
0.5,-2.51E-04,-0.01,0,0.039,0.982,0.00E+00,9.38E-04,0.023
0.52,-2.08E-04,-0.008,0.002,0.039,-0.982,3.75E-05,9.38E-04,-0.023
0.54,-2.51E-04,-0.01,0.002,0,-0.982,3.75E-05,0,-0.023
0.56,-2.95E-04,-0.012,0.002,0,0,3.75E-05,0,0
