Time (s),Position (m),Velocity (m/s),Force (N)
0,0.21,,2.927
0.02,0.21,-0.03,2.902
0.04,0.21,0.05,2.881
0.06,0.21,0.06,2.851
0.08,0.21,0.07,2.823
0.1,0.22,0.08,2.789
0.12,0.22,0.08,2.749
0.14,0.22,0.07,2.717
0.16,0.22,0.06,2.687
0.18,0.22,0.09,2.659
0.2,0.22,0.04,2.636
0.22,0.22,0,2.619
0.24,0.22,0.03,2.605
0.26,0.23,0.03,2.597
0.28,0.23,0,2.596
0.3,0.23,-0.01,2.597
0.32,0.23,-0.03,2.599
0.34,0.22,-0.03,2.613
0.36,0.22,-0.03,2.62
0.38,0.22,-0.03,2.634
0.4,0.22,-0.04,2.652
0.42,0.22,-0.04,2.67
0.44,0.22,-0.03,2.684
0.46,0.22,-0.03,2.7
0.48,0.22,-0.03,2.708
0.5,0.22,-0.02,2.722
0.52,0.22,-0.01,2.726
0.54,0.22,0,2.728
0.56,0.22,0,2.729
0.58,0.22,0.01,2.722
0.6,0.22,0.01,2.719
0.62,0.22,0.01,2.714
0.64,0.22,0.01,2.71
0.66,0.22,0.01,2.701
0.68,0.22,0,2.7
0.7,0.22,0,2.694
0.72,0.22,-0.01,2.694
0.74,0.22,0,2.691
0.76,0.22,0,2.698
0.78,0.22,-0.01,2.7
0.8,0.22,0,2.703
0.82,0.22,0.03,2.7
0.84,0.22,0.08,2.68
0.86,0.22,0.15,2.626
0.88,0.23,0.23,2.546
0.9,0.23,0.32,2.443
0.92,0.24,0.43,2.321
0.94,0.25,0.49,2.194
0.96,0.26,0.52,2.062
0.98,0.27,0.58,1.934
1,0.28,0.65,1.806
1.02,0.3,0.81,1.686
1.04,0.31,0.76,1.573
1.06,0.33,0.7,1.466
1.08,0.34,0.78,1.369
1.1,0.36,0.83,1.274
1.12,0.38,0.92,1.184
1.14,0.39,0.95,1.096
1.16,0.41,1,1.017
1.18,0.43,1.05,0.934
1.2,0.46,1.08,0.848
1.22,0.48,1.11,0.766
1.24,0.5,1.14,0.683
1.26,0.52,1.17,0.595
1.28,0.55,1.19,0.507
1.3,0.57,1.22,0.421
1.32,0.6,1.24,0.334
1.34,0.62,1.26,0.241
1.36,0.65,1.27,0.146
1.38,0.67,1.29,0.055
1.4,0.7,1.35,-0.053
1.42,0.72,1.35,-0.162
1.44,0.75,1.31,-0.283
1.46,0.78,1.32,-0.414
1.48,0.8,1.29,-0.422
1.5,0.83,1.29,-0.419
1.52,0.86,1.38,-0.421
1.54,0.88,1.46,-0.419
1.56,0.91,1.4,-0.417
1.58,0.94,1.33,-0.419
1.6,0.97,1.22,-0.417
1.62,0.99,1.21,-0.414
1.64,1.02,1.29,-0.415
1.66,1.04,1.29,-0.414
1.68,1.07,1.22,-0.417
1.7,1.09,1.04,-0.419
1.72,1.11,0.74,-0.414
1.74,1.12,0.16,-0.414
1.76,1.11,-0.45,-0.424
1.78,1.1,-0.7,-0.426
1.8,1.09,,-0.417
